condition,v13_all_gene_mse,v14_all_gene_mse,upgrade_all_gene_gain,v13_top100_mse,v14_top100_mse,upgrade_top100_mse_gain,v13_top100_pcc,v14_top100_pcc,upgrade_top100_pcc_delta
CELF2,0.0011139177452135257,0.0011525801749702263,-0.03470851409166608,0.027360506289517063,0.027360506289517063,0.0,0.5231172710810558,0.5231172710810558,0.0
CITED1,0.0015069161639569841,0.001507945549482044,-0.0006831073616974119,0.026631865213131035,0.026683591835765297,-0.0019422831341440506,0.882288905044455,0.8915593197426208,0.009270414698165808
CKS1B,0.002218890709839478,0.0022633081758823086,-0.020017870121257164,0.06281706922872264,0.06281706922872264,0.0,0.828763230717865,0.828763230717865,0.0
COL2A1,0.0038584157652831793,0.00377692756527133,0.021119600626001662,0.11258151401704247,0.10848673196644705,0.03637170885777534,0.5826665875146168,0.6051712408187514,0.022504653304134647
DLX2,0.0013760860687031338,0.0013745217508078303,0.0011367878295416372,0.038547518981979376,0.03846891200774037,0.002039222661145895,0.5814072296723788,0.5873598920793675,0.0059526624069886624
EGR1,0.0008049702233273232,0.0008174939503671355,-0.015558000379251079,0.016872396175779,0.017501713459529576,-0.037298631278821326,0.697001477030657,0.6779527348796716,-0.019048742150985398
ETS2,0.002103375907635603,0.0021026989688086406,0.0003218344493274773,0.06388356608253717,0.06384954990648228,0.0005324714655243575,0.42827302420010277,0.434436836960718,0.006163812760615228
FOSB,0.0015129251281709528,0.0014996345357375807,0.008784699378639934,0.03937457064410628,0.03937457064410628,0.0,0.56216546410346,0.56216546410346,0.0
FOXA3,0.0008285705893695697,0.0008248536913350433,0.004485915964449604,0.014905118326915118,0.014718344200680163,0.012530871754146732,0.8584926041554809,0.8708757094381173,0.01238310528263642
FOXF1,0.0006404237353037896,0.0006278803309351574,0.019586101634228508,0.008519867780336324,0.007889561710812553,0.0739807337126175,0.689825452628408,0.702665290215048,0.01283983758663998
FOXO4,0.0021679739587661343,0.0021682434046497506,-0.0001242846495119471,0.03818042951601897,0.03819396917167067,-0.0003546229265445748,0.8272805163469176,0.8384556782539658,0.011175161907048259
GLB1L2,0.0009057932899405867,0.0008994254912470023,0.007030079339627377,0.03279380221206511,0.032473820327712496,0.009757388981107286,0.6307760003780628,0.6491359829412334,0.018359982563170618
HES7,0.007466460063147979,0.00750761011958072,-0.005511320771116683,0.1567770247436152,0.15884481507936044,-0.01318937094977263,0.8876222038274318,0.8847422449657468,-0.002879958861685017
HOXA13,0.004651599982152885,0.004648108533021587,0.0007505910105543125,0.1041887726419841,0.10401332732313637,0.0016839177043634585,0.8792438146017627,0.8960624078409655,0.01681859323920276
HOXC13,0.0027347389089721354,0.0027342888562692054,0.00016456880086560503,0.06280835548586321,0.06278574033754096,0.00036006592032706793,0.8544356065350487,0.85884344393677,0.004407837401721348
IGDCC3,0.0016862465869817414,0.0016998473938740395,-0.008065728344418804,0.04805702670252871,0.04874046724886668,-0.014221448833454492,0.7725739947087186,0.77516417643651,0.002590181727791463
IRF1,0.004646404266229322,0.004647302531382872,-0.0001933247952783714,0.15763860702107488,0.1576837448450407,-0.00028633736886407764,0.287971846663184,0.29130077795103565,0.0033289312878516664
ISL2,0.0006489608041446956,0.000640698427920908,0.012731703010441514,0.010854237542830922,0.0104390531375856,0.03825090464502927,0.5261341539168931,0.5350004467385242,0.008866292821631094
JUN,0.0019520949620204905,0.001947750327849968,0.002225626444948024,0.04374822088620142,0.04352990301913266,0.004990325609735116,0.7775240342534382,0.7742533824627656,-0.0032706517906725407
KIF18B,0.00045938795717694644,0.0004551279035997207,0.00927332445413856,0.0036840017731584107,0.0034699340809028166,0.058107380353421244,0.8237007082333037,0.831735715794002,0.008035007560698304
KIF2C,0.0003174722902157929,0.00031685456067817916,0.0019457746601880665,0.0033325884236541314,0.003301547514389041,0.00931435428532588,0.844868918513856,0.8464725964224733,0.0016036779086172626
KLF1,0.0036666882342329737,0.0036415124252497043,0.0068660893359360955,0.10703300300548024,0.10576791860407096,0.01181957308386934,0.08644608503483368,0.13409477345807796,0.04764868842324428
KMT2A,0.000701630125906487,0.0007016833114387741,-7.580280595616902e-05,0.00517780376105254,0.005180476334049968,-0.0005161595766782098,0.7546159344706123,0.7544329512602134,-0.00018298321039889043
LHX1,0.0018418061026441602,0.0017880920254131469,0.029163806740513856,0.059924995218700844,0.05722586283784241,0.04504184557725446,0.6465677202055973,0.6753235603377734,0.028755840132176136
LYL1,0.0008061937527895811,0.0007495208357700239,0.07029689429303851,0.013709174942644928,0.010861360862412189,0.20773052296342692,0.6887732022993082,0.762223707009881,0.0734505047105728
MAML2,0.0018093126079115351,0.0018012559854574451,0.004452863711257531,0.025307894419805743,0.02490304914148771,0.015996798137469872,-0.2689860864810628,-0.2897689827381487,-0.020782896257085903
MAP4K3,0.0003680221952657512,0.0003660466025609472,0.0053681346674686594,0.003782878065867543,0.00368360453245114,0.026242858397191354,0.7488316390337442,0.7531974606285432,0.004365821594799035
MAP4K5,0.00041378864025678027,0.0004037048837030802,0.02436934118694637,0.0028112343589184073,0.0028112343589184073,0.0,0.7950250070565038,0.7950250070565038,0.0
MAP7D1,0.001149896634180867,0.0011470235584380756,0.002498551310951571,0.020203029711359594,0.020058657655284327,0.007146059682033228,0.4093926692412997,0.42003185883601524,0.010639189594715548
MAPK1,0.004492724455882439,0.004492562337395425,3.608467169649573e-05,0.1547246093893491,0.1547164629353767,5.265131387019461e-05,0.13105590508362588,0.13123223805968243,0.0001763329760565424
MEIS1,0.0006838342191107154,0.0006767697818720574,0.010330628449457962,0.011617579413477184,0.011262591442234618,0.030556104555718066,0.6146076485462666,0.6251203837068234,0.010512735160556841
MIDN,0.002372752970801713,0.0023812395724081663,-0.0035766899086784416,0.05760277864516614,0.05802923037589038,-0.00740331874181257,0.8018933364167582,0.7593587577046165,-0.042534578712141724
NCL,0.0007715099140515429,0.0007598884949782593,0.01506321417472689,0.004415440590024231,0.003831464281591739,0.1322577660204205,0.6981297926981491,0.753626004814953,0.05549621211680389
NIT1,0.0036735037436833326,0.0036682347675102787,0.001434318988272185,0.0819276142016229,0.0819276142016229,0.0,0.6869918287926865,0.6869918287926865,0.0
OSR2,0.0028098388080244068,0.002816028375953572,-0.0022028195750905502,0.08067352716352419,0.08098455295196473,-0.0038553637032640994,0.517700899803929,0.5271497665263774,0.009448866722448379
POU3F2,0.0009970836766767111,0.001003562617785894,-0.006497891060434589,0.020883139067270504,0.021208705858006927,-0.015589935482768219,0.7666723428161908,0.7656512224872798,-0.001021120328910996
PRDM1,0.005722635099537955,0.00571934341637315,0.0005752040987325512,0.187113478564651,0.18694807148561948,0.0008839933942778944,0.6280495557876441,0.6384154805169606,0.010365924729316522
PRTG,0.0024249381520131627,0.0024271409915367563,-0.0009084106008084592,0.07942810825330318,0.07953880093936375,-0.0013936210806828784,0.5507729746738176,0.5661494007343488,0.015376426060531245
PTPN1,0.002563822196206378,0.002567626581693111,-0.0014838725916183051,0.07454915472145653,0.07474032509216487,-0.002564353297131635,0.7442512006917673,0.7317008597098555,-0.012550340981911767
PTPN12,0.0014879266071275738,0.0014898338328471047,-0.0012818009372201694,0.04079861456243322,0.04089445265483965,-0.002349052619416075,0.4109837625961254,0.40884221418464317,-0.0021415484114822303
RREB1,0.001185787137253127,0.0011864178821276883,-0.0005319208268883746,0.028881286684114615,0.02891298161406132,-0.0010974209803518962,0.584920568931414,0.5840461581869218,-0.0008744107444921267
RUNX1T1,0.0004729757938860893,0.00047137926512181514,0.0033754978265518906,0.007164885266228537,0.007084659695823757,0.01119704886035235,0.5197252841552454,0.50799401939162,-0.011731264763625404
S1PR2,0.001970568855125704,0.0019621298899481438,0.004282502058027238,0.06741858149472284,0.06699452349455046,0.0062899276545231655,0.6444733480473515,0.6688261280207265,0.02435277997337504
SAMD1,0.0013760091030772953,0.0013764813551514258,-0.0003432041787182714,0.042134718194913,0.04215844886163807,-0.000563209337613076,0.7492921222391222,0.747829239069809,-0.0014628831693132005
SET,0.0035673460895888336,0.0035636579453123215,0.001033862200047213,0.10309323233998591,0.10290790309009115,0.0017976858973978791,0.652729325142247,0.6219217138080916,-0.030807611334155438
SGK1,0.0013649833524333728,0.001363985733385064,0.0007308653592957262,0.03563434414296552,0.035584213785788,0.0014067989290442778,0.7638740567178628,0.7577212015415073,-0.006152855176355443
SLC4A1,0.0026296244552315834,0.0026286716036617334,0.0003623527184478216,0.08315002730258982,0.08310214651120484,0.0005758361474823024,0.15811538194462973,0.15199605570172492,-0.006119326242904816
SLC6A9,0.001013605024067943,0.001012293068717231,0.001294345745689753,0.02560281654838736,0.025536890792014086,0.002574941559600672,0.6296015398567134,0.643634940090927,0.014033400234213622
SNAI1,0.0015158997480399906,0.0015074700008788793,0.005560886972908797,0.0445554015092485,0.04413180671440265,0.009507147966289146,0.4782601575232303,0.4864656466316968,0.008205489108466468
SPI1,0.0044971822847065315,0.0044988830941876095,-0.00037819447231700435,0.10953944985347935,0.10962491552990354,-0.0007802273659262189,0.9006549361544369,0.8668247224485481,-0.03383021370588879
STIL,0.0005053540257568022,0.0005013176890908817,0.007987146555082517,0.004978328360967942,0.004775502443505435,0.040741771686404304,0.8301723318051241,0.8404346360599931,0.01026230425486907
TBX2,0.0022318907457533886,0.0022311031181016967,0.000352897046233309,0.07453060517159714,0.0744910268820996,0.000531034055156423,0.4735076585941635,0.4810604443521573,0.007552785757993785
