dataset,seed,condition,subgroup,all_gene_mse_v1,all_gene_mse_v2,relative_all_gene_mse_gain,top100_mse_v1,top100_mse_v2,relative_top100_mse_gain,top100_pcc_v1,top100_pcc_v2,top100_pcc_delta
Replogle_exp6,3,FDPS+PRKDC,combo_seen1,0.0011787448855431091,0.0010497019355514353,0.10947487583983626,0.010315611563484055,0.00622127181287172,0.396907127164983,0.8274758041070128,0.93081407259212,0.10333826848510719
Replogle_exp6,3,FDPS+RAD9A,combo_seen1,0.0007724855153989726,0.0006700900755349689,0.13255321662713448,0.009260216255595033,0.0059276231504714035,0.3598828594429502,0.8354729572941133,0.91131290016755,0.07583994287343665
Replogle_exp6,3,FDPS+RAD17,combo_seen1,0.0007331798111074874,0.0006451865059538329,0.12001599583155226,0.007631341500537343,0.005019822865267284,0.3422096410029842,0.7837320846497875,0.899039211185434,0.11530712653564645
Replogle_exp6,3,FDPS+RRM1,combo_seen1,0.0005422348451136163,0.00041276108829715766,0.2387780091656219,0.006300278396555388,0.0022768777288755585,0.6386068066261298,0.8986239866433892,0.96258071771861,0.06395673107522082
Replogle_exp6,3,FDPS+RRM2B,combo_seen1,0.0011942361897188608,0.0011149397970893736,0.06639925444576814,0.019437048566490332,0.016356946563215357,0.15846551973868617,0.6939163830891978,0.8388189579342004,0.14490257484500257
Replogle_exp6,3,FDPS+SQLE,combo_seen1,0.0008153205534732206,0.0006577037260498516,0.19331884465800603,0.009245342484400992,0.005009773169035238,0.4581300608941343,0.950544576116034,0.9729461843118492,0.02240160819581516
Replogle_exp6,3,FDPS+SREBF1,combo_seen1,0.0007512839325990865,0.0006100397410601476,0.18800374320571572,0.007921814726027656,0.0037952204003620475,0.5209152786807049,0.9037411718690408,0.9536486553038875,0.049907483434846744
Replogle_exp6,3,FDPS+SREBF2,combo_seen1,0.0012451015489968345,0.0008804787278708699,0.2928458497379089,0.0185471745481141,0.01304954624229409,0.296413251061953,0.5293811641286487,0.6904439996629743,0.16106283553432565
Replogle_exp6,3,FDPS+TOPBP1,combo_seen1,0.0007795312182194129,0.0006405309719148554,0.17831261026602455,0.005520967753977401,0.002131037269771734,0.6140101944561264,0.679458303887944,0.9226374765726414,0.24317917268469735
Replogle_exp6,3,FDPS+XRCC5,combo_seen1,0.0015980653211017707,0.0014383923073538175,0.09991644999709287,0.00882369223095951,0.005039174070753241,0.428904143656281,0.9340560802811912,0.9646630698216025,0.0306069895404113
Replogle_exp6,3,HMGCR+SREBF2,combo_seen2,0.0009209980236825915,0.0008253157991633986,0.10388971752253005,0.01975559577084022,0.01941406806749008,0.017287643830728894,0.0034322593125024514,0.0068059384954107065,0.003373679182908255
Replogle_exp6,3,HUS1+SQLE,combo_seen2,0.0005768336573981461,0.0005788907241325651,-0.003566135068639236,0.005155470266935791,0.005137356773902935,0.003513451168368772,0.9807858945021335,0.9807817354676247,-4.159034508788295e-06
Replogle_exp6,3,HUS1+SREBF2,combo_seen2,0.0006548002434695695,0.0005588491785367871,0.14653486447159747,0.011776575885892563,0.010854718391259894,0.07827890751648656,0.3181050208178593,0.3593878294701171,0.04128280865225781
Replogle_exp6,3,AHCYL1,unseen_single,0.0006978566560063657,0.000628787675991804,0.09897301891454868,0.0021464031401972343,0.0007737707009534273,0.6395035552909576,-0.04874211072503163,0.7901057832336045,0.8388478939586361
Replogle_exp6,3,ATR,unseen_single,0.001705245766496872,0.001649477376493734,0.03270401903281327,0.010212462252910882,0.01192407135011004,-0.1676000414798394,0.7303433635283864,0.4807046679880975,-0.24963869554028884
Replogle_exp6,3,FDPS,unseen_single,0.000715620607815794,0.0006413975845326827,0.10371839836984806,0.015841258228374136,0.013025257874984866,0.17776367967699555,0.79949941821031,0.9096654269173206,0.11016600870701054
Replogle_exp6,3,POLR1D,unseen_single,0.005570863500505741,0.005880501263026755,-0.05558164591412158,0.1344083294090148,0.1412230583902505,-0.05070168650410038,0.7644014253194795,0.6934558553722258,-0.07094556994725376
Replogle_exp6,3,RAD1,unseen_single,0.0007907015540303443,0.0005511185086752395,0.30300060007964835,0.004499662512853162,0.0031699126035265503,0.29552214316700803,-0.12700958399137693,0.48570717012444503,0.6127167541158219
Replogle_exp6,3,RPL15,unseen_single,0.0017156320570843274,0.0015048845409056434,0.12283957699930372,0.011642405851428325,0.004666740578730718,0.5991601187689065,-0.14071536455448874,0.9879147854848058,1.1286301500392946
Replogle_exp6,3,XRCC6,unseen_single,0.005076451868559256,0.004336258068319222,0.14580928164105847,0.11677874276786046,0.09381752735972476,0.1966215328570486,0.5572183058110728,0.808748893480352,0.25153058766927916
Replogle_exp6,3,AHCYL1+FDPS,combo_seen0,0.0013185170794871423,0.0010513075321824544,0.2026591475088235,0.007985739709719603,0.002899215766913063,0.63695088090783,0.4316193521505334,0.876098588913072,0.44447923676253864
Replogle_exp6,3,ATR+FDPS,combo_seen0,0.0015840034223350177,0.0012565660772044767,0.20671504904191285,0.02100680121509378,0.020714380984836814,0.013920264549695381,0.6759337535480335,0.7191261767657232,0.04319242321768968
Replogle_exp6,3,FDPS+RAD1,combo_seen0,0.001117274953165097,0.0006729578285362522,0.3976793029953381,0.009843654202210277,0.004718629544953506,0.5206424923079893,0.46536986042029865,0.7890908727665938,0.3237210123462952
Replogle_exp6,3,FDPS+XRCC6,combo_seen0,0.004977851065332848,0.004194164462623503,0.15743472281988471,0.13471297749054115,0.11546573545512023,0.1428759306932575,0.7155934864431073,0.8697280976574601,0.1541346112143528
Schmidt,1,CBY1+LCP2,combo_seen1,0.009606774964337284,0.00923197721459855,0.039013899162838296,0.010732753709057236,0.01048172340859617,0.023389179260605363,-0.23674182431414917,-0.17508737311050554,0.06165445120364363
Schmidt,1,CBY1+PRKD2,combo_seen1,0.008773438934582276,0.008987267862240956,-0.024372304777301207,0.008719823293950121,0.008564362667142144,0.01782841481613927,0.022592727721239665,0.07569611486734448,0.05310338714610482
Schmidt,1,CBY1+TRIM21,combo_seen1,0.010836252215403032,0.010831732360658992,0.00041710497819665536,0.022915184869637253,0.022836562160558654,0.0034310309746954674,-0.3908745089011366,-0.5405603036475569,-0.1496857947464203
Schmidt,1,EMP3+JMJD1C,combo_seen1,0.007637227250605501,0.007632968342984667,0.000557651027144165,0.008675124438824707,0.009523117675268162,-0.09774997954477066,-0.13059992421918035,-0.15995332582315028,-0.02935340160396993
