seed,strategy,rep,budget,cosine,nmse,global_nullity,target_components_witnessed
2,random,3,1,0.44438143831036203,0.692273356254771,11,1
2,random,4,1,0.21932588423583654,0.9526384565087623,11,0
2,random,5,1,0.21932588423583654,0.9526384565087623,11,0
2,random,6,1,0.21932588423583654,0.9526384565087623,11,0
2,random,7,1,0.21932588423583654,0.9526384565087623,11,0
2,random,8,1,0.4130570060689456,0.7738119526301336,11,1
2,random,9,1,0.21932588423583654,0.9526384565087623,11,0
2,random,10,1,0.21932588423583654,0.9526384565087623,11,0
2,random,11,1,0.44438143831036203,0.692273356254771,11,1
2,random,12,1,0.21932588423583654,0.9526384565087623,11,0
2,random,13,1,0.21932588423583654,0.9526384565087623,11,0
2,random,14,1,0.21932588423583654,0.9526384565087623,11,0
2,random,15,1,0.4059586401991899,0.7115057448947071,11,1
2,random,16,1,0.21932588423583654,0.9526384565087623,11,0
2,random,17,1,0.21932588423583654,0.9526384565087623,11,0
2,random,18,1,0.4130570060689456,0.7738119526301336,11,1
2,random,19,1,0.21932588423583654,0.9526384565087623,11,0
2,d_optimal,0,2,0.4059586401991899,0.7115057448947071,10,1
2,v_optimal,0,2,0.599689762032299,0.5326792410160783,10,2
2,random,0,2,0.44438143831036203,0.692273356254771,10,1
2,random,1,2,0.394214051957667,0.6810571684433815,10,1
2,random,2,2,0.21932588423583654,0.9526384565087623,10,0
2,random,3,2,0.44438143831036203,0.692273356254771,10,1
2,random,4,2,0.21932588423583654,0.9526384565087623,10,0
2,random,5,2,0.21932588423583654,0.9526384565087623,10,0
2,random,6,2,0.44438143831036203,0.692273356254771,10,1
2,random,7,2,0.21932588423583654,0.9526384565087623,10,0
2,random,8,2,0.394214051957667,0.6810571684433815,10,1
2,random,9,2,0.21932588423583654,0.9526384565087623,10,0
2,random,10,2,0.4130570060689456,0.7738119526301336,10,1
2,random,11,2,0.44438143831036203,0.692273356254771,10,1
2,random,12,2,0.44438143831036203,0.692273356254771,10,1
2,random,13,2,0.21932588423583654,0.9526384565087623,10,0
2,random,14,2,0.21932588423583654,0.9526384565087623,10,0
2,random,15,2,0.5808468079210204,0.4399244568293262,10,2
2,random,16,2,0.21932588423583654,0.9526384565087623,10,0
2,random,17,2,0.21932588423583654,0.9526384565087623,10,0
2,random,18,2,0.4130570060689456,0.7738119526301336,10,1
2,random,19,2,0.21932588423583654,0.9526384565087623,10,0
2,d_optimal,0,4,0.5996897620324728,0.532679241016036,8,2
2,v_optimal,0,4,0.9996334838286549,0.0007328526967061688,8,4
2,random,0,4,0.8059023619955459,0.17955935657533492,8,3
2,random,1,4,0.41305700606911944,0.7738119526300914,8,1
2,random,2,4,0.4059586401993638,0.7115057448946648,8,1
2,random,3,4,0.4059586401993638,0.7115057448946648,8,1
2,random,4,4,0.4443814383105359,0.6922733562547287,8,1
2,random,5,4,0.41305700606911944,0.7738119526300914,8,1
2,random,6,4,0.4443814383105359,0.6922733562547287,8,1
2,random,7,4,0.41305700606911944,0.7738119526300914,8,1
2,random,8,4,0.21932588423601038,0.95263845650872,8,0
2,random,9,4,0.394214051957667,0.6810571684433815,8,1
2,random,10,4,0.6192696060321925,0.42069206818939014,8,2
2,random,11,4,0.4059586401993638,0.7115057448946648,8,1
2,random,12,4,0.6381125601436449,0.5134468523761,8,2
2,random,13,4,0.21932588423601038,0.95263845650872,8,0
2,random,14,4,0.6381125601436449,0.5134468523761,8,2
2,random,15,4,0.4059586401993638,0.7115057448946648,8,1
2,random,16,4,0.5808468079210204,0.4399244568293262,8,2
2,random,17,4,0.6381125601436449,0.5134468523761,8,2
2,random,18,4,0.6192696060321925,0.42069206818939014,8,2
2,random,19,4,0.394214051957667,0.6810571684433815,8,1
2,d_optimal,0,8,0.5996897620317706,0.5326792410163244,4,2
2,v_optimal,0,8,0.9996334838286549,0.0007328526967061688,4,4
2,random,0,8,0.6310141942731871,0.4511406446409618,4,2
2,random,1,8,0.6192696060321925,0.42069206818939014,4,2
2,random,2,8,0.8247453161062961,0.27231414076233307,4,3
2,random,3,8,0.5996897620317706,0.5326792410163244,4,2
2,random,4,8,0.6310141942731871,0.4511406446409618,4,2
2,random,5,8,0.7745779297541294,0.26109795295069743,4,3
2,random,6,8,0.9996334838286549,0.0007328526967061688,4,4
2,random,7,8,0.44438143830983373,0.6922733562550171,4,1
2,random,8,8,0.8130007278653015,0.24186556431076145,4,3
2,random,9,8,0.8130007278653015,0.24186556431076145,4,3
2,random,10,8,0.5808468079210204,0.4399244568293262,4,2
2,random,11,8,0.8059023619955459,0.17955935657533492,4,3
2,random,12,8,0.7745779297541294,0.26109795295069743,4,3
2,random,13,8,0.6381125601429427,0.5134468523763883,4,2
2,random,14,8,0.8059023619955459,0.17955935657533492,4,3
2,random,15,8,0.7745779297541294,0.26109795295069743,4,3
2,random,16,8,0.8059023619955459,0.17955935657533492,4,3
2,random,17,8,0.9996334838286549,0.0007328526967061688,4,4
2,random,18,8,0.4059586401986616,0.7115057448949531,4,1
2,random,19,8,0.6192696060321925,0.42069206818939014,4,2
2,d_optimal,0,12,0.9996334838286549,0.0007328526967061689,0,4
2,v_optimal,0,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,0,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,1,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,2,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,3,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,4,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,5,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,6,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,7,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,8,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,9,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,10,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,11,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,12,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,13,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,14,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,15,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,16,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,17,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,18,12,0.9996334838286549,0.0007328526967061689,0,4
2,random,19,12,0.9996334838286549,0.0007328526967061689,0,4
3,d_optimal,0,0,0.15862287940125433,0.9784583351264704,12,0
3,v_optimal,0,0,0.15862287940125433,0.9784583351264704,12,0
3,random,0,0,0.15862287940125433,0.9784583351264704,12,0
3,random,1,0,0.15862287940125433,0.9784583351264704,12,0
3,random,2,0,0.15862287940125433,0.9784583351264704,12,0
3,random,3,0,0.15862287940125433,0.9784583351264704,12,0
3,random,4,0,0.15862287940125433,0.9784583351264704,12,0
3,random,5,0,0.15862287940125433,0.9784583351264704,12,0
3,random,6,0,0.15862287940125433,0.9784583351264704,12,0
3,random,7,0,0.15862287940125433,0.9784583351264704,12,0
3,random,8,0,0.15862287940125433,0.9784583351264704,12,0
3,random,9,0,0.15862287940125433,0.9784583351264704,12,0
3,random,10,0,0.15862287940125433,0.9784583351264704,12,0
3,random,11,0,0.15862287940125433,0.9784583351264704,12,0
3,random,12,0,0.15862287940125433,0.9784583351264704,12,0
3,random,13,0,0.15862287940125433,0.9784583351264704,12,0
3,random,14,0,0.15862287940125433,0.9784583351264704,12,0
3,random,15,0,0.15862287940125433,0.9784583351264704,12,0
3,random,16,0,0.15862287940125433,0.9784583351264704,12,0
3,random,17,0,0.15862287940125433,0.9784583351264704,12,0
3,random,18,0,0.15862287940125433,0.9784583351264704,12,0
3,random,19,0,0.15862287940125433,0.9784583351264704,12,0
3,d_optimal,0,1,0.15862287940125433,0.9784583351264704,11,0
3,v_optimal,0,1,0.37689350244014796,0.7343904490570362,11,1
3,random,0,1,0.15862287940125433,0.9784583351264704,11,0
3,random,1,1,0.15862287940125433,0.9784583351264704,11,0
3,random,2,1,0.33024781006036835,0.7529328041843072,11,1
3,random,3,1,0.15862287940125433,0.9784583351264704,11,0
3,random,4,1,0.15862287940125433,0.9784583351264704,11,0
3,random,5,1,0.37689350244014796,0.7343904490570362,11,1
3,random,6,1,0.15862287940125433,0.9784583351264704,11,0
3,random,7,1,0.15862287940125433,0.9784583351264704,11,0
3,random,8,1,0.15862287940125433,0.9784583351264704,11,0
3,random,9,1,0.15862287940125433,0.9784583351264704,11,0
3,random,10,1,0.15862287940125433,0.9784583351264704,11,0
3,random,11,1,0.39549566217009,0.7557892244741073,11,1
3,random,12,1,0.15862287940125433,0.9784583351264704,11,0
3,random,13,1,0.15862287940125433,0.9784583351264704,11,0
3,random,14,1,0.33024781006036835,0.7529328041843072,11,1
3,random,15,1,0.15862287940125433,0.9784583351264704,11,0
3,random,16,1,0.15862287940125433,0.9784583351264704,11,0
3,random,17,1,0.15862287940125433,0.9784583351264704,11,0
3,random,18,1,0.15862287940125433,0.9784583351264704,11,0
3,random,19,1,0.39549566217009,0.7557892244741073,11,1
3,d_optimal,0,2,0.15862287940125433,0.9784583351264704,10,0
3,v_optimal,0,2,0.548518433099262,0.5088649181148731,10,2
3,random,0,2,0.37287007089431357,0.6929860551090675,10,1
3,random,1,2,0.39549566217009,0.7557892244741073,10,1
3,random,2,2,0.15862287940125433,0.9784583351264704,10,0
3,random,3,2,0.15862287940125433,0.9784583351264704,10,0
3,random,4,2,0.548518433099262,0.5088649181148731,10,2
3,random,5,2,0.15862287940125433,0.9784583351264704,10,0
3,random,6,2,0.15862287940125433,0.9784583351264704,10,0
3,random,7,2,0.37689350244014796,0.7343904490570362,10,1
3,random,8,2,0.33024781006036835,0.7529328041843072,10,1
3,random,9,2,0.37287007089431357,0.6929860551090675,10,1
3,random,10,2,0.37287007089431357,0.6929860551090675,10,1
3,random,11,2,0.39549566217009,0.7557892244741073,10,1
3,random,12,2,0.15862287940125433,0.9784583351264704,10,0
3,random,13,2,0.39549566217009,0.7557892244741073,10,1
3,random,14,2,0.33024781006036835,0.7529328041843072,10,1
