seed,design,edges,corr,nmse,q_nullity,q_min_eig,q_trace_inv_1e3
13,dense_bipartite_400,400,0.3004090584720547,0.9097239245602721,1,-1.5987211554602254e-14,1001.9249043757906
13,odd_witness_1,401,0.9964019771340834,0.0071830744696967895,0,0.09149805847683545,12.731748853721374
13,odd_witness_4,404,0.9988483237963188,0.002318500166304749,0,0.36985418726534647,4.604625331226501
13,odd_witness_16,416,0.9993576156774551,0.0013154234620343255,0,1.4731005584488472,2.5378009640207235
13,random_120,120,0.9977194304903955,0.00459456625297824,0,1.2482222068970044,9.56740369680504
14,dense_bipartite_400,400,0.30024905426311915,0.9098586768214822,1,-1.5987211554602254e-14,1001.9249043757906
14,odd_witness_1,401,0.9965377112146022,0.0069499759137771734,0,0.09149805847683545,12.731748853721374
14,odd_witness_4,404,0.9990349674231958,0.001955506827063617,0,0.36985418726534647,4.604625331226501
14,odd_witness_16,416,0.9993985095461793,0.0012378182761216862,0,1.4579805076668597,2.5450381679217573
14,random_120,120,0.9978371788708248,0.004371218212459124,0,1.3266974786822519,9.179927792960205
15,dense_bipartite_400,400,0.30370326683911936,0.9077615297163534,1,-1.5987211554602254e-14,1001.9249043757906
15,odd_witness_1,401,0.9963506821021358,0.007312108512688031,0,0.09149805847683545,12.731748853721374
15,odd_witness_4,404,0.9986550477164449,0.0027064820222879467,0,0.36985418726534647,4.604625331226501
15,odd_witness_16,416,0.999389802030601,0.0012453180440207207,0,1.489103513575257,2.5304285202599583
15,random_120,120,0.997551462238139,0.0049091410096019986,0,1.3256748440152288,9.793463791615476
16,dense_bipartite_400,400,0.3039799624080669,0.9075825929585832,1,-1.5987211554602254e-14,1001.9249043757906
16,odd_witness_1,401,0.9965788031405296,0.0068655827126552155,0,0.09149805847683545,12.731748853721374
16,odd_witness_4,404,0.9991405624075201,0.0017188800386030948,0,0.36985418726534647,4.604625331226501
16,odd_witness_16,416,0.9994244104989417,0.0011583345384067513,0,1.4631268631441499,2.5424788030771435
16,random_120,120,0.997580001189891,0.004842668782681673,0,1.2641313567844363,9.36143647353145
17,dense_bipartite_400,400,0.3115406626660865,0.9029468052938457,1,-1.5987211554602254e-14,1001.9249043757906
17,odd_witness_1,401,0.9972909374548081,0.005553116919594685,0,0.09149805847683545,12.731748853721374
17,odd_witness_4,404,0.9990691667080451,0.0018852284857435618,0,0.36985418726534647,4.604625331226501
17,odd_witness_16,416,0.9993643935699716,0.0012742514312699235,0,1.498720451962284,2.5258648201993794
17,random_120,120,0.9975685858745167,0.004881213441968836,0,1.310340077386106,10.053239225404683
18,dense_bipartite_400,400,0.35946238212731524,0.8706860301820278,1,-1.5987211554602254e-14,1001.9249043757906
18,odd_witness_1,401,0.9975940671632785,0.0048148323758454145,0,0.09149805847683545,12.731748853721374
18,odd_witness_4,404,0.9989541420486058,0.0021228371890498958,0,0.36985418726534647,4.604625331226501
18,odd_witness_16,416,0.9993742526112569,0.0012514041653794365,0,1.4666624589493573,2.540887963143602
18,random_120,120,0.9976406906183972,0.004716012526838783,0,1.3238689146814757,9.351895238024843
19,dense_bipartite_400,400,0.2864033278518328,0.9179732447414751,1,-1.5987211554602254e-14,1001.9249043757906
19,odd_witness_1,401,0.9974415174278568,0.005116136418766222,0,0.09149805847683545,12.731748853721374
19,odd_witness_4,404,0.9987023727550564,0.0026365539601599713,0,0.36985418726534647,4.604625331226501
19,odd_witness_16,416,0.9993872426902171,0.0012254866874504087,0,1.4909932519224363,2.5294366944548985
19,random_120,120,0.9976956388054112,0.004636693707632602,0,1.3438232647240422,9.725990625263627
