data_seed,model_seed,pair,strategy,residual_mse,residual_cosine,full_effect_mse,full_effect_cosine
47,0,FDPS+LIG4,GEARS,0.034759393469519895,0.4154056502145256,0.034759393469519895,0.7402097742070153
47,0,FDPS+ATR,GEARS,0.031058841889915235,0.5244347147882864,0.031058841889915235,0.7891552067250692
47,0,FDPS+NHEJ1,GEARS,0.03765037984150101,0.3682943543428511,0.03765037984150101,0.7393367101838383
47,0,FDPS+XRCC6,GEARS,0.053443243925430005,0.37874888586287625,0.053443243925430005,0.7200071719828918
47,0,FDPS+PRKDC,GEARS,0.045065611827429554,0.30572895852750487,0.045065611827429554,0.7079096159532378
47,0,RRM2B+FDPS,CPA,0.18753145757601333,0.1559668272517838,0.18753145757601333,0.15655524128240766
47,0,XRCC5+FDPS,CPA,0.2227321215323243,0.31183237468899366,0.2227321215323243,0.020142488314942187
47,0,RAD1+FDPS,CPA,0.18891296718034328,0.17579525174778263,0.18891296718034328,0.11517763706453549
47,0,ATM+FDPS,CPA,0.18442121788697255,0.12921182300196327,0.18442121788697255,0.21489157117834431
47,0,CHEK1+FDPS,CPA,0.18248764841321105,0.18535230665774,0.18248764841321105,0.13449955052218682
47,0,RAD17+FDPS,CPA,0.19054316193108403,0.1651108974892534,0.19054316193108403,0.07944389049291145
47,0,FDPS+ATRIP,CPA,0.18123110209758284,0.19952791266061717,0.18123110209758284,0.1453013732714816
47,0,FDPS+AHCYL1,CPA,0.1889277618458704,0.20450445176214924,0.1889277618458704,0.10217790123451556
47,0,FDPS+RAD9A,CPA,0.1825597223359087,0.16431858369177266,0.1825597223359087,0.12055274516771314
47,0,FDPS+LIG4,CPA,0.1773245628187166,0.17444655655830993,0.1773245628187166,0.13988626423878336
47,0,FDPS+ATR,CPA,0.17625966667131135,0.24651510295533205,0.17625966667131135,0.15932406286000791
47,0,FDPS+NHEJ1,CPA,0.18928494115726582,0.20925809255419686,0.18928494115726582,0.12065960868703943
47,0,FDPS+XRCC6,CPA,0.21324581519954594,0.18896994871922138,0.21324581519954594,0.1144701477717412
47,0,FDPS+PRKDC,CPA,0.19985053386512336,0.1647882039315618,0.19985053386512336,0.07173568763118192
47,0,RRM2B+FDPS,GEARS+Witness,0.01179397159844739,0.6184568977613689,0.01179397159844739,0.9069308208708738
47,0,XRCC5+FDPS,GEARS+Witness,0.015443171509901588,0.6537813702405467,0.015443171509901588,0.9089728212553879
47,0,RAD1+FDPS,GEARS+Witness,0.009471855812539242,0.7155799254379733,0.009471855812539242,0.9115634096683352
47,0,ATM+FDPS,GEARS+Witness,0.012366980574382574,0.6495957054319246,0.012366980574382574,0.8995671997451856
47,0,CHEK1+FDPS,GEARS+Witness,0.011849749351987654,0.670492071315344,0.011849749351987654,0.8933138941269702
47,0,RAD17+FDPS,GEARS+Witness,0.009471925805357698,0.672216958272178,0.009471925805357698,0.9184242704275469
47,0,FDPS+ATRIP,GEARS+Witness,0.010283147016248623,0.690614342895083,0.010283147016248622,0.9165821589877396
