i,j,component,pair_type,component_status,unsupported_truth,seed,seen_category,train_edges,global_nullity,endpoint_degree_sum,null_projection,regularized_variance,cosine,nmse,catastrophic
30,31,2,within,unwitnessed,1,1,seen2,380,4,12,0.14285714285714293,285.97844599987144,0.20441867530130167,0.9584594503097114,1
37,38,2,within,unwitnessed,1,1,seen2,380,4,12,0.14285714285714288,285.9784459998714,-0.009122585127035126,1.0533620233590273,1
44,51,3,cross,unwitnessed,0,1,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716616,0.9978698343697585,0.004309710324217393,0
45,52,3,cross,unwitnessed,0,1,seen2,380,4,12,0.0,0.3620940524716474,0.9984706350555311,0.003056957825340781,0
44,45,3,within,unwitnessed,1,1,seen2,380,4,12,0.14285714285714274,285.97844599987144,0.3460340262976479,0.9048532332317503,1
51,52,3,within,unwitnessed,1,1,seen2,380,4,12,0.14285714285714288,285.9784459998714,0.09471561553161832,0.999029166049885,1
58,65,4,cross,witnessed,0,1,seen2,380,4,12,0.0,0.36209150808745993,0.9972276662981412,0.005639957347628056,0
59,66,4,cross,witnessed,0,1,seen2,380,4,12,0.0,0.3620915080874598,0.998426329619532,0.0032351517388139114,0
58,59,4,within,witnessed,0,1,seen2,380,4,12,0.0,1.619553253141608,0.9996656429092762,0.0006696518682752324,0
65,66,4,within,witnessed,0,1,seen2,380,4,12,0.0,1.51194989568156,0.9995851901658015,0.0008429141427654604,0
72,79,5,cross,witnessed,0,1,seen2,380,4,12,0.0,0.3620915080874598,0.9975390224611367,0.005091953195032643,0
73,80,5,cross,witnessed,0,1,seen2,380,4,12,0.0,0.3620915080874598,0.9980601162977685,0.0039784213470193865,0
72,73,5,within,witnessed,0,1,seen2,380,4,12,0.0,1.6195532531416061,0.9995476386278328,0.0009052187743753674,0
79,80,5,within,witnessed,0,1,seen2,380,4,12,0.0,1.5119498956815585,0.9995972875780024,0.0008121523741752472,0
86,93,6,cross,witnessed,0,1,seen2,380,4,12,0.0,0.36209150808746,0.996941610683741,0.006244483509314929,0
87,94,6,cross,witnessed,0,1,seen2,380,4,12,0.0,0.36209150808746,0.9982968023219466,0.0034151527616788097,0
86,87,6,within,witnessed,0,1,seen2,380,4,12,0.0,1.619553253141608,0.9997134244130881,0.0005917004335224431,0
93,94,6,within,witnessed,0,1,seen2,380,4,12,0.0,1.5119498956815596,0.9997898362646522,0.0004220087891721678,0
100,107,7,cross,unwitnessed,0,1,seen2,380,4,12,1.2480026039629288e-31,0.3620940524716616,0.9980703035109341,0.0038581679360192938,0
101,108,7,cross,unwitnessed,0,1,seen2,380,4,12,2.465190328815662e-32,0.3620940524716474,0.997818462410212,0.004370459038573048,0
100,101,7,within,unwitnessed,1,1,seen2,380,4,12,0.14285714285714274,285.97844599987144,0.11384969512788808,0.9923196019045538,1
107,108,7,within,unwitnessed,1,1,seen2,380,4,12,0.14285714285714288,285.9784459998714,0.06866646724044786,1.011415503804185,1
2,9,0,cross,unwitnessed,0,2,seen2,380,4,12,0.0,0.3620940524716474,0.9969971487817795,0.00622058940790057,0
3,10,0,cross,unwitnessed,0,2,seen2,380,4,12,3.8518598887744717e-32,0.3620940524716616,0.998101463138395,0.003982797655153096,0
2,3,0,within,unwitnessed,1,2,seen2,380,4,12,0.14285714285714293,285.9784459998442,0.17099313166220348,0.9711500933996997,1
9,10,0,within,unwitnessed,1,2,seen2,380,4,12,0.14285714285714274,285.9784459998443,0.2068744624378524,0.9572701890670606,1
16,23,1,cross,witnessed,0,2,seen2,380,4,12,0.0,0.3620915080874599,0.9984278611703388,0.003156627399036649,0
17,24,1,cross,witnessed,0,2,seen2,380,4,12,0.0,0.36209150808745993,0.9976101231521054,0.004901862676976325,0
16,17,1,within,witnessed,0,2,seen2,380,4,12,0.0,1.619553253141607,0.9996358970418937,0.0007281268989389374,0
23,24,1,within,witnessed,0,2,seen2,380,4,12,0.0,1.5119498956815591,0.9996842481520557,0.0006430596533777807,0
30,37,2,cross,unwitnessed,0,2,seen2,380,4,12,0.0,0.3620940524716616,0.998132772097863,0.004185431478800846,0
31,38,2,cross,unwitnessed,0,2,seen2,380,4,12,1.3866695599588098e-32,0.3620940524716474,0.9972244024184201,0.005646999975016324,0
