DataSet,seed,DEG,method,conditions,mean_cor,published_best_mean_cor,mean_mse,published_best_mean_mse,witness_vs_factorized_cor,witness_vs_factorized_mse_gain
Schmidt,3,100,factorized_only,28,0.6957466863802023,0.6262035714285714,0.02360432395297005,0.023703571428571428,1.8883856990892234e-05,0.0003292815526977639
Schmidt,3,5000,WitnessCell,28,0.5011381365806408,0.4453357142857143,0.006129682959046382,0.006657142857142857,0.000291100900348229,0.0005636447636468732
Schmidt,3,5000,factorized_only,28,0.5008470356802925,0.4453357142857143,0.006133139871219509,0.006657142857142857,0.000291100900348229,0.0005636447636468732
Wessels,1,100,WitnessCell,65,0.7997747058264357,0.8361092307692307,0.07600773164569197,0.05099076923076923,0.057757393611328034,0.28837555496326
Wessels,1,100,factorized_only,65,0.7420173122151077,0.8361092307692307,0.10680876995697894,0.05099076923076923,0.057757393611328034,0.28837555496326
Wessels,1,5000,WitnessCell,65,0.691502087119436,0.7242061538461538,0.0038330334091526957,0.0030476923076923077,0.08485989252696258,0.30982123817646173
Wessels,1,5000,factorized_only,65,0.6066421945924734,0.7242061538461538,0.00555368206205787,0.0030476923076923077,0.08485989252696258,0.30982123817646173
Wessels,2,100,WitnessCell,55,0.914973271707448,0.89912,0.022523280659749928,0.019078181818181817,0.029040144723332162,0.5359795554723181
Wessels,2,100,factorized_only,55,0.8859331269841159,0.89912,0.04853941442747415,0.019078181818181817,0.029040144723332162,0.5359795554723181
Wessels,2,5000,WitnessCell,55,0.8037366070538577,0.7941109090909091,0.0022221389548991227,0.0021436363636363636,0.08604982665979466,0.4071191840241761
Wessels,2,5000,factorized_only,55,0.7176867803940631,0.7941109090909091,0.003748036527782905,0.0021436363636363636,0.08604982665979466,0.4071191840241761
Wessels,3,100,WitnessCell,67,0.8233043697536447,0.8384044776119403,0.07623692162772776,0.07808208955223882,0.011805291191786749,0.015310557328646638
Wessels,3,100,factorized_only,67,0.811499078561858,0.8384044776119403,0.07742230019335379,0.07808208955223882,0.011805291191786749,0.015310557328646638
Wessels,3,5000,WitnessCell,67,0.7199267623978959,0.7223179104477612,0.003556106209340438,0.0035492537313432837,0.046400518232720844,0.24788320978189282
Wessels,3,5000,factorized_only,67,0.673526244165175,0.7223179104477612,0.004728130332403826,0.0035492537313432837,0.046400518232720844,0.24788320978189282
