dataset,seed,condition,subgroup,correction_active,all_gene_mse_v13,all_gene_mse_v14,relative_all_gene_mse_gain,top100_mse_v13,top100_mse_v14,relative_top100_mse_gain,top100_pcc_v13,top100_pcc_v14,top100_pcc_delta
Norman,1,CDKN1A+CDKN1B,combo_seen1,True,0.0011023259726013733,0.0011009840910792608,0.0012173182483814116,0.005364882353742623,0.005364882353742623,0.0,0.9796192702134309,0.9796192702134309,0.0
Norman,1,CDKN1A+CDKN1C,combo_seen1,True,0.0011715599422962085,0.0011824094270219754,-0.009260716702640434,0.005547583548140529,0.006092770155610316,-0.09827460960953466,0.9818082419392412,0.9795552278723236,-0.00225301406691758
Norman,1,CEBPA+KLF1,combo_seen1,True,0.0029460952396589382,0.002963595687048614,-0.005940217802226173,0.017449918024355048,0.017449918024355048,0.0,0.9834057567550181,0.9834057567550181,0.0
Norman,1,CEBPB+PTPN12,combo_seen1,True,0.0034096958081749206,0.0034103085985139085,-0.00017971994379050772,0.04850331856694355,0.04853411128147771,-0.0006348578910462824,0.8633821692881586,0.8637749143490661,0.0003927450609074734
Norman,1,CEBPE+CNN1,combo_seen1,True,0.0021703613370790756,0.0021462055170847253,0.011129860996722222,0.03789216867476667,0.03667833872005057,0.03203379476995775,0.8047371205303157,0.812639116156883,0.007901995626567349
Norman,1,CEBPE+ETS2,combo_seen1,True,0.006061618443758649,0.006036793113481938,0.004095495370922399,0.1798815345272805,0.17863406168087573,0.006934968893183361,0.5092431689092443,0.5141619089587629,0.004918740049518644
Norman,1,CEBPE+KLF1,combo_seen1,True,0.005194726862983882,0.005156245426232071,0.007407788275841495,0.06882355185137382,0.06688985965459533,0.028096373185655107,0.3413277384385023,0.3745035505485967,0.033175812110094405
Norman,1,CEBPE+PTPN12,combo_seen1,True,0.0017522766595149248,0.001732581549948431,0.011239726021315562,0.024204203721146823,0.023214524465430503,0.04088873433384851,0.8268310103282974,0.8343504600894437,0.0075194497611462685
Norman,1,CEBPE+RUNX1T1,combo_seen1,True,0.0027656184229260363,0.0027434591492150767,0.00801241180897074,0.07094426971582456,0.06983076621184883,0.015695467843082896,0.5203971765304084,0.530143779037015,0.009746602506606639
Norman,1,CEBPE+SET,combo_seen1,True,0.0035568088070301834,0.0035172645829262502,0.011117894227480643,0.07935850235229255,0.07737140509106992,0.025039500523855708,0.5430248733613418,0.5592456099064912,0.01622073654514944
Norman,1,CLDN6+KLF1,combo_seen1,True,0.003607214079457856,0.003602055048492444,0.0014301981672758676,0.06822916732010914,0.06796992601409717,0.003799567196763473,0.8814885577695879,0.8795006291224357,-0.0019879286471522484
Norman,1,CNN1+MAPK1,combo_seen1,True,0.0008166102439882007,0.0008211304534785492,-0.0055353328269218,0.009354475244647666,0.00958161577153768,-0.02428148249363061,0.9516833597544305,0.9500602795737925,-0.001623080180638059
Norman,1,CNN1+UBASH3A,combo_seen1,True,0.0064371203409088066,0.006445392532400973,-0.0012850764090264202,0.20988844768590745,0.21030412530838885,-0.001980469278154144,0.7973128662509279,0.7988190648897194,0.0015061986387915338
Norman,1,CNN1+UBASH3B,combo_seen1,True,0.004490420722521307,0.00449903784998973,-0.0019190022496565538,0.16369272406869478,0.164125734723983,-0.0026452651316774965,0.9305832833101843,0.9306060068184395,2.2723508255273472e-05
Norman,1,COL2A1+KLF1,combo_seen1,True,0.0034912225525986036,0.003473635337122474,0.005037552092758698,0.04491806568277608,0.04403430810510057,0.019674880568474457,0.8501073534735073,0.8519713102178106,0.0018639567443032856
Norman,1,DLX2+SNAI1,combo_seen1,True,0.004776576791215105,0.004772676763425871,0.0008164901266544328,0.10479643492032371,0.10487361559305518,-0.0007364818544652214,0.6139896916335565,0.6130577981644807,-0.0009318934690758507
Norman,1,DLX2+ZBTB10,combo_seen1,True,0.006259331455569823,0.006267196957335022,-0.0012566041311328705,0.08849597710257624,0.08889121856627752,-0.004466208257615479,0.9172881166276423,0.9171532599961695,-0.000134856631472835
Norman,1,DUSP9+ETS2,combo_seen1,True,0.0024516310666717017,0.002466229406771521,-0.005954541977491611,0.05217189031333466,0.0529054569033506,-0.01406057142285381,0.8222410152116706,0.8190767870480071,-0.003164228163663463
Norman,1,DUSP9+KLF1,combo_seen1,True,0.006407333001850839,0.006395568147552842,0.0018361546519587082,0.21841782386932102,0.2178266399408467,0.0027066652253985675,0.7295888170758708,0.7147109043917652,-0.014877912684105543
Norman,1,ETS2+IGDCC3,combo_seen1,True,0.0016798075960783574,0.0016795223268919659,0.00016982253625803256,0.01702883045825801,0.017014495681641834,0.0008417945466844356,0.8961286735401769,0.8961482762350247,1.9602694847797864e-05
Norman,1,ETS2+IKZF3,combo_seen1,True,0.0014633942909690802,0.0014627310296232805,0.00045323488679221264,0.012420788849960576,0.012387459967334142,0.0026833144842117176,0.9864204148496686,0.9865039543840722,8.35395344036538e-05
Norman,1,ETS2+MAP7D1,combo_seen1,True,0.0029252701703810476,0.0029242162313219944,0.00036028776751101887,0.0815407900505906,0.08148782961287317,0.0006494962543848055,0.5484868828933437,0.550138409301236,0.0016515264078923453
Norman,1,ETS2+MAPK1,combo_seen1,True,0.0024484077755854267,0.002450643562550142,-0.0009131595590447612,0.07364728155033615,0.0737596298453131,-0.0015254914045967928,0.9802281974109572,0.9803343259411054,0.00010612853014813073
Norman,1,ETS2+PRTG,combo_seen1,True,0.0013248213897081567,0.0013244342315720213,0.00029223421296109943,0.015855564162991987,0.015836109466651187,0.0012269948984980456,0.9200321275040139,0.9201148770834507,8.274957943688044e-05
Norman,1,ETS2+TGFBR2,combo_seen1,True,0.0024139002678379437,0.0024140092969670846,-4.516720537028099e-05,0.050069642772746156,0.05007512148648548,-0.00010942186594354968,0.06679731324459404,0.06461669904748199,-0.0021806141971120463
Norman,1,FEV+ISL2,combo_seen1,True,0.008650651625304265,0.008604608094163559,0.00532255061642104,0.22757249358281675,0.22525880614299626,0.010166814993300197,0.6308498227652087,0.6350491504114827,0.004199327646273954
Norman,1,FEV+MAP7D1,combo_seen1,True,0.0053717219395900675,0.005329675375358216,0.007827390305139377,0.15154198048941953,0.14942914063676896,0.013942274251840614,0.6493910606436666,0.6567569408272625,0.007365880183595963
Norman,1,FOSB+PTPN12,combo_seen1,True,0.0025175378354035816,0.002518548158639281,-0.00040131402257062863,0.032946943498534075,0.032997712241127984,-0.001540924201243994,0.610197492451441,0.6107402862088424,0.0005427937574014052
Norman,1,FOXA1+KLF1,combo_seen1,True,0.003382281368609989,0.003365207730237128,0.005047965119435832,0.06788827157514601,0.06703032124690975,0.012637681124148172,0.6531322051059902,0.655823859853725,0.0026916547477348063
Norman,1,IRF1+SET,combo_seen1,True,0.004287402417757777,0.004274570621198493,0.002992906965331015,0.08192721983954249,0.08128242206243845,0.007870372976977577,0.8470917967832358,0.8477074781350826,0.000615681351846864
Norman,1,KLF1+MAP2K6,combo_seen1,True,0.002777806932876311,0.0027607240464359154,0.006149774571520386,0.08347252967722571,0.08261411463359583,0.01028380291036136,0.37493822555227013,0.37212824467029354,-0.0028099808819765926
Norman,1,KLF1+TGFBR2,combo_seen1,True,0.0031412925624790884,0.0031186054761963584,0.00722221373256159,0.08313851807397311,0.08199849198826593,0.013712369574507367,0.5516603689472638,0.5515993234143911,-6.104553287267223e-05
Norman,1,OSR2+PTPN12,combo_seen1,True,0.0020462408560796832,0.002045851020327088,0.00019051313115797357,0.019443141889952536,0.01942355264338463,0.001007514458248559,0.7942375391173429,0.7963704638311946,0.002132924713851736
Norman,1,PTPN12+PTPN9,combo_seen1,True,0.0015298826068237043,0.0015314998888183607,-0.001057128166202302,0.03576916986771846,0.035850438287949954,-0.0022720242189583303,0.9101184370126342,0.9088182837804356,-0.0013001532321985643
Norman,1,PTPN12+SAMD1,combo_seen1,True,0.0015939625599181685,0.0015954664641636156,-0.0009435003577024495,0.03127409596418424,0.03134966715251796,-0.0024164147996561065,0.9434048064207414,0.9425406371194683,-0.0008641693012730878
Norman,1,PTPN12+SNAI1,combo_seen1,True,0.0024118455505445836,0.002404249668119174,0.0031494066540432224,0.03099716896211765,0.0309358404572148,0.001978519553763201,0.7065229319535493,0.7081034354887287,0.0015805035351793562
Norman,1,PTPN12+UBASH3A,combo_seen1,True,0.0040438826078129176,0.00404558328679155,-0.0004205559714682474,0.12983786298430897,0.12992332210298524,-0.0006581987465905922,0.7611918146058108,0.7557436654464336,-0.005448149159377191
Norman,1,PTPN12+UBASH3B,combo_seen1,True,0.0017929694463087176,0.0017950991389040062,-0.0011878019447978667,0.052391131376671306,0.05249814842958456,-0.0020426558866202225,0.9499097521447866,0.9474071043930395,-0.0025026477517470225
Norman,1,PTPN12+ZBTB10,combo_seen1,True,0.0022468113908253816,0.002246445679756137,0.00016276892254421603,0.017584917562337665,0.01756654058110811,0.0010450422166841263,0.9387811279748268,0.9390003168117306,0.0002191888369037498
Norman,1,PTPN12+ZBTB25,combo_seen1,True,0.0016738050475188977,0.0016748933738472479,-0.000650210925079616,0.039428398757745925,0.03948308715574553,-0.0013870306612149407,0.9607264487570762,0.9593143126015549,-0.0014121361555213818
Norman,1,RHOXF2+SET,combo_seen1,True,0.0038142041862451706,0.003792774626201801,0.005618356804454566,0.06825639351037834,0.06717955811819903,0.015776330052005592,0.8274965167626832,0.8302339458509242,0.002737429088241039
Norman,1,BAK1+TMSB4X,combo_seen2,True,0.0003985980367408506,0.0003985980367408506,0.0,0.003107241983729442,0.003107241983729442,0.0,0.9877906028805484,0.9877906028805484,0.0
Norman,1,BPGM+SAMD1,combo_seen2,True,0.0007078212179123289,0.0007078212179123289,0.0,0.005873034547083472,0.005873034547083472,0.0,0.9851849303974572,0.9851849303974572,0.0
Norman,1,CEBPA+CEBPB,combo_seen2,True,0.005723742440445799,0.005723742440445799,0.0,0.017826811235671678,0.017826811235671678,0.0,0.9947143827085257,0.9947143827085257,0.0
Norman,1,CEBPA+CEBPE,combo_seen2,True,0.0020936338634891913,0.0020736947928471634,0.00952366647757502,0.01495436691008607,0.013952428610324152,0.06699971358106466,0.9872233671212117,0.9881305408597261,0.0009071737385143441
Norman,1,CEBPA+JUN,combo_seen2,True,0.004260432353836109,0.004260432353836109,0.0,0.02562419544384566,0.02562419544384566,0.0,0.9888142826324339,0.9888142826324339,0.0
Norman,1,CEBPB+CEBPE,combo_seen2,True,0.002343020987433393,0.0023231479785629883,0.008481788672398695,0.03185464945750601,0.030856030761768148,0.03134922884868084,0.9748991012466622,0.9761479143979401,0.0012488131512778944
Norman,1,CEBPB+LYL1,combo_seen2,True,0.0021414409057470252,0.0021414409057470252,0.0,0.025284609319373687,0.025284609319373687,0.0,0.9107331817165516,0.9107331817165516,0.0
Norman,1,CEBPE+FOSB,combo_seen2,True,0.004537495736348342,0.004506680009835803,0.006791351067436639,0.11428070641924508,0.11273221616199,0.013549883491044901,0.972970652468791,0.974077165566199,0.0011065130974080573
Norman,1,CEBPE+SPI1,combo_seen2,True,0.008093847093988802,0.008061707569530669,0.003970858861665828,0.17778023088230935,0.17616521977828817,0.009084312108303643,0.9386926670452169,0.9397388871818827,0.0010462201366657764
Norman,1,DUSP9+IGDCC3,combo_seen2,True,0.0025654170634151446,0.002579796788924667,-0.0056052194064616315,0.05986817849203182,0.06059075969888533,-0.012069537190774656,0.9497815151121562,0.9482963749473874,-0.0014851401647688611
Norman,1,DUSP9+PRTG,combo_seen2,True,0.0025578767853336334,0.002570756230247648,-0.005035209275076529,0.06375888923376746,0.0644060813406967,-0.010150617658289968,0.9603524136381414,0.9592133029900596,-0.0011391106480818092
Norman,1,FOXA1+FOXA3,combo_seen2,True,0.000783275847370033,0.000783275847370033,0.0,0.0054413230475063926,0.0054413230475063926,0.0,0.9847159366940603,0.9847159366940603,0.0
Norman,1,FOXL2+ZNF318,combo_seen2,True,0.0008240718039347905,0.0008240718039347905,0.0,0.0054306346145918645,0.0054306346145918645,0.0,0.9617492241700837,0.9617492241700837,0.0
Norman,1,IKZF3+MAPK1,combo_seen2,True,0.000945760293942842,0.000945760293942842,0.0,0.007026512334379084,0.007026512334379084,0.0,0.9846641294297843,0.9846641294297843,0.0
Norman,1,MAPK1+PRTG,combo_seen2,True,0.0010537554321491038,0.0010537554321491038,0.0,0.010859871729879471,0.010859871729879471,0.0,0.9273379429424031,0.9273379429424031,0.0
Norman,1,UBASH3A+UBASH3B,combo_seen2,True,0.00033299188998050166,0.00033299188998050166,0.0,0.003365279662776276,0.003365279662776276,0.0,0.9791247715275644,0.9791247715275644,0.0
Norman,1,UBASH3B+ZBTB25,combo_seen2,True,0.0006716193552884579,0.0006716193552884579,0.0,0.010109209039791399,0.010109209039791399,0.0,0.9903506757184022,0.9903506757184022,0.0
Norman,1,ARID1A,unseen_single,True,0.0036360263563292635,0.0036481855616330647,-0.003344091629763776,0.08951589303124166,0.08951589303124166,0.0,0.7717863338242675,0.7717863338242675,0.0
Norman,1,BCL2L11,unseen_single,True,0.0007623381525599458,0.0007674661049708509,-0.006726611273075243,0.001276092003133978,0.0015337716117819538,-0.20192870734644183,0.8212556738915476,0.8334925649805541,0.012236891089006496
Norman,1,BCORL1,unseen_single,True,0.0009260670411100284,0.0009242844703565041,0.001924883053161687,0.016126273261046823,0.01603669908068223,0.0055545493316773095,0.428104238669087,0.42911735627273306,0.0010131176036460854
Norman,1,CBL,unseen_single,True,0.0010463315691743393,0.0010485214593125747,-0.0020929217876541725,0.029579613234215176,0.029689655213661504,-0.003720196696792527,0.5833400284811816,0.5788556706374822,-0.0044843578436993825
Norman,1,CDKN1B,unseen_single,True,0.0008774502889899879,0.0008754704518503858,0.0022563524845162263,0.017080864451451707,0.017080864451451707,0.0,0.9072398210467331,0.9072398210467331,0.0
