dataset,seed,condition,base_wmse,final_wmse,wmse_gain,base_weighted_r2,final_weighted_r2,weighted_r2_delta,weight_sum
Norman,3,BCORL1,0.047435045658751854,0.04716486625269466,0.005695776241070162,-0.021459578275575097,-0.015641573078419402,0.005818005197155696,18.461466985343883
Norman,3,BPGM,0.126186330773865,0.1262570622940378,-0.0005605323471964665,-0.09347840721426537,-0.09409133723246987,-0.000612930018204505,27.401774555839438
Norman,3,CBFA2T3,0.03535039061419128,0.03535175198459073,-3.851075973417908e-05,0.17574192552012258,0.17571018271545724,-3.174280466533563e-05,36.20858976883032
Norman,3,CBL,0.09188986897855507,0.09198372085082852,-0.0010213516823639897,-0.09548388815007414,-0.09660276246223853,-0.0011188743121643974,12.539821576720854
Norman,3,CDKN1B,0.02391994350057594,0.023917103908250272,0.00011871233414913029,-0.033276690628438965,-0.03315402794067279,0.00012266268776617295,42.80734127231723
Norman,3,CDKN1C,0.019355963356441613,0.019544748141714998,-0.009753313839094365,0.1640106502992621,0.1558569838054904,-0.008153666493771694,82.74642720739561
Norman,3,CEBPA,0.29290582184060127,0.29286971560657143,0.00012326908971266608,-0.07191105878920201,-0.07177892528873198,0.00013213350047003303,97.42833380059491
Norman,3,CEBPE,0.1617331476910735,0.15374911020478166,0.04936549866414614,0.18837503486621066,0.22844130599831025,0.040066271132099596,22.889556096464524
Norman,3,CELF2,0.07633634810184994,0.07633733740646184,-1.2959810581691706e-05,-0.060900038673616264,-0.060913787737163716,-1.3749063547452423e-05,10.072385711194116
Norman,3,CITED1,0.013603719111529428,0.013684625431729977,-0.005947367740927479,0.14038998008817927,0.13527756318597783,-0.005112416902201433,63.93397018433901
Norman,3,CKS1B,0.08585050022289561,0.08585662902296175,-7.138921788714259e-05,-0.2131578312049791,-0.21324443759372258,-8.660638874347093e-05,30.47052651288393
Norman,3,COL2A1,0.19675198741775682,0.16697263036522342,0.1513547966827085,0.21310342292251183,0.3322039943563939,0.11910057143388209,13.750404494535816
Norman,3,DLX2,0.08005449863920301,0.07981714306437934,0.0029649248806541827,0.17990274579495025,0.182334272548499,0.0024315267535487406,21.216296160505074
Norman,3,EGR1,0.01295560377453767,0.013092726440698498,-0.010584042901213312,-0.232315341709727,-0.24535822015420616,-0.013042878444479156,74.01749885846453
Norman,3,ETS2,0.07359962845911108,0.07352847564623437,0.0009667550552411394,0.09974814128393483,0.10061846431933885,0.0008703230354040192,42.41972530231395
Norman,3,FOSB,0.03338221850115515,0.0332198283131486,0.004864571478403505,0.05646370819753754,0.061053607931478626,0.004589899733941083,68.52319358357659
Norman,3,FOXA3,0.011659812883183091,0.011239842566143816,0.0360186154998248,-0.04074373689473787,-0.0032575884016754486,0.03748614849306242,44.47317314035057
Norman,3,FOXF1,0.008496399722527453,0.007371561036240085,0.13239003848947423,-0.26906604382050614,-0.10105434143342462,0.16801170238708152,56.03524107124681
Norman,3,FOXO4,0.0216583121525675,0.021683588724045806,-0.0011670610018108165,0.07640501502604802,0.07532712333761671,-0.0010778916884313094,53.566029171808346
Norman,3,GLB1L2,0.22482342037639363,0.22414437768025525,0.0030203378945198494,-0.5882525382543198,-0.583455478926963,0.004797059327356745,8.634412452580008
Norman,3,HES7,0.13360672031443044,0.13880582645099504,-0.038913507676328035,0.18933520579474772,0.15778939510251278,-0.031545810692234943,39.77203545053112
Norman,3,HOXA13,0.05567404466891148,0.055559840154302695,0.0020513062287453657,0.03289882748081474,0.03488264813983022,0.0019838206590154783,95.67857417972075
Norman,3,HOXC13,0.033802455023259924,0.03377991189668269,0.0006669079675343831,-0.06201660033166112,-0.061308332999246096,0.0007082673324150246,100.31948427720687
Norman,3,IGDCC3,0.08631750577000405,0.09323305816462937,-0.08011761151963832,0.34214985059036207,0.28944446788182465,-0.05270538270853742,9.882660232161971
Norman,3,IRF1,0.25294223543704675,0.25299993453638936,-0.00022811176331590633,-0.5919303472252568,-0.5922934852638382,-0.0003631380385813454,21.40769816767553
Norman,3,ISL2,0.012950225492323515,0.012380561245941165,0.04398875113950939,0.06594151550717042,0.10702958173127275,0.041088066224102326,55.87579550249604
Norman,3,JUN,0.060303510001564246,0.05964138904794377,0.010979807868618283,0.01383143949185317,0.024659380812304565,0.010827941320451395,32.85271875375929
Norman,3,KIF18B,0.008003715748580099,0.007453083042259839,0.0687971341833254,0.0734423601613905,0.13718687043795263,0.06374451027656214,33.23583662563259
Norman,3,KIF2C,0.013868956766104005,0.01353331326741442,0.024201063162148113,0.7692037137985185,0.7747892292984697,0.005585515499951232,9.248178316064472
Norman,3,KLF1,0.2175010814643511,0.21400814625915732,0.01605939235647562,-0.34458707098483643,-0.3229938196544466,0.021593251330389807,17.897507418579927
Norman,3,KMT2A,0.004667114504424041,0.004676499008423376,-0.0020107721784927038,0.6598142930849822,0.6591302571299966,-0.0006840359549855624,28.478574867856572
Norman,3,LHX1,0.398317673474437,0.35019726166421494,0.12080913053763927,0.2414069782048589,0.3330519415998503,0.0916449633949914,5.60912153350496
Norman,3,LYL1,0.06901631865165146,0.030584806613417413,0.5568467398588847,0.5557814940134349,0.8031431208570381,0.2473616268436032,7.410101578620065
Norman,3,MAML2,0.03982056054624621,0.039360968552467485,0.011541575193171229,-0.32313877006029945,-0.3078676644546485,0.015271105605650925,20.46714371468754
Norman,3,MAP4K3,0.002741419751346822,0.002686870885771175,0.01989803478611687,0.15148193275914934,0.1683657747777565,0.016883842018607154,111.49685684705467
Norman,3,MAP4K5,0.0028719361800741334,0.002777784195935052,0.032783452777370166,0.13249801155857,0.1609377220309144,0.028439710472344393,141.93605518901362
Norman,3,MAP7D1,0.03872389055441301,0.03724229729003631,0.038260444474060226,0.526050769683619,0.5441842778936625,0.01813350821004356,9.744378538060104
Norman,3,MAPK1,0.1622799660574619,0.16227095636061759,5.5519464683142044e-05,-0.1963011636009917,-0.1962347456007889,6.641800020279476e-05,43.50758698041438
Norman,3,MEIS1,0.009704795822463363,0.009489253286182373,0.02220989912864338,-0.3166114414835015,-0.28736963417653505,0.02924180730696646,75.1982856258564
Norman,3,MIDN,0.07159686790846274,0.07191929406934633,-0.004503355667678225,-0.15648392518910748,-0.1616919836281865,-0.005208058439079011,25.274126911592496
Norman,3,NCL,0.008971512032555593,0.005824004017124159,0.35083361689867193,0.7287252616759585,0.8238975592954227,0.09517229761946422,18.55360830121493
Norman,3,NIT1,0.06378227090455349,0.06373494921770922,0.0007419253998509893,-0.0727193070914014,-0.07192342939055973,0.0007958777008416629,31.933535729305213
Norman,3,OSR2,0.14491593744044814,0.1458941783177842,-0.006750402299526615,-0.12383159832009438,-0.13141791372567502,-0.007586315405580635,16.416145322079096
Norman,3,POU3F2,0.01964105387215792,0.021839333286197554,-0.11192268135651283,0.5318820265031716,0.47948900771822967,-0.05239301878494196,14.810073217132839
Norman,3,PRDM1,0.269135080440366,0.26903724349548974,0.0003635235685967329,-0.06246318148090957,-0.062076951073674946,0.0003862304072346223,32.86064525166388
Norman,3,PRTG,0.17763037737969026,0.1779982823315676,-0.0020711826282445,-0.17881577146479866,-0.1812573142125573,-0.0024415427477586515,25.129291454535903
Norman,3,PTPN1,0.12303153312149455,0.12312256307578505,-0.000739891245609428,0.07634012471458462,0.07565671685894026,-0.0006834078556443579,29.212218100238232
Norman,3,PTPN12,0.05719589055809528,0.0573703286858137,-0.0030498367280643,-0.15158995514773976,-0.15510211648861927,-0.003512161340879505,42.73932616438408
Norman,3,RREB1,0.0321912656162267,0.032205634617742056,-0.0004463633610017019,-0.07471895965271624,-0.07519867481967912,-0.00047971516696287964,55.189916158228044
Norman,3,RUNX1T1,0.007364063226137929,0.00670895843497721,0.08895969127960464,0.6312094834958102,0.6640169739908688,0.0328074904950586,12.246219457903184
Norman,3,S1PR2,0.0724217498755112,0.07218524229002965,0.003265698300415164,-0.13124721760231095,-0.1275529054864375,0.003694312115873455,52.50004363886838
Norman,3,SAMD1,0.05136692640484173,0.05138981733140648,-0.0004456355123205399,-0.24062090914417666,-0.2411737738786186,-0.000552864734441938,46.50822590748131
Norman,3,SET,0.12610722082561568,0.12582462559847127,0.0022409123386771877,-0.03602082309206489,-0.03369919124647147,0.0023216318455934193,20.875716016299243
Norman,3,SGK1,0.034537588729832314,0.03434068363166996,0.005701182549326931,0.0964088364396054,0.10156037461302203,0.0051515381734166255,25.45914638339471
Norman,3,SLC4A1,0.10670381315629665,0.10663980713883922,0.0005998475177609217,-0.01114853926567494,-0.010542004324308962,0.0006065349413659771,28.07410553229087
Norman,3,SLC6A9,0.027795081700406538,0.02751455141411117,0.010092803083621224,0.027525003549069615,0.03734000219199407,0.009814998642924455,23.500406050226804
Norman,3,SNAI1,0.035857636945729784,0.035620163975033425,0.006622660914766144,-0.06024283890568127,-0.0532212100963001,0.007021628809381175,75.31984408674373
Norman,3,SPI1,0.08032816972190443,0.08040618367499255,-0.0009711904722615722,0.1495008889031082,0.14867489226974395,-0.0008259966333642454,61.56712926272776
Norman,3,STIL,0.0032151152378499747,0.0029664127327656215,0.07735414959827897,-0.2734498148760631,-0.1749431873902394,0.09850662748582373,81.55362865915367
Norman,3,TBX2,0.626421020557643,0.6263096748671163,0.0001777489689404282,-0.18611187062756418,-0.18590104046551237,0.0002108301620518116,6.807558733804539
Norman,3,TBX3,2.7031358331838176,2.7024259004374134,0.0002626330270528837,-0.2986208667134398,-0.2982798059842209,0.0003410607292189116,4.238814362304549
Norman,3,TGFBR2,0.010467568629685503,0.00973247468026904,0.07022585429550213,-0.06599875967489455,0.008861913901220375,0.07486067357611492,43.144780094550825
Norman,3,TMSB4X,0.7788652956340184,0.2444872092112501,0.6860982116140756,0.035868984619250366,0.6973575500336455,0.6614885654143952,3.1652221093383615
Norman,3,TSC22D1,0.0242485716454472,0.012300718769205904,0.4927239860119583,0.6287900042209719,0.8116940729886969,0.18290406876772503,9.29681808608015
Norman,3,UBASH3A,0.004004240612200184,0.0030408655939276217,0.24058869373067537,-0.7111975789520779,-0.29950278871690283,0.4116947902351751,44.63945463975321
Norman,3,ZBTB1,0.09101075017616594,0.09099331439236255,0.00019157938781565504,-0.2377526688120577,-0.23751554091349947,0.00023712789855823146,34.24723182520463
Norman,3,ZBTB10,0.05802866747472887,0.057963297382669074,0.0011265137544002306,-0.13704272940103812,-0.1357618351270271,0.001280894274011013,115.80738276062118
Norman,3,ZBTB25,0.029330087615457925,0.0293280355004026,6.996620951939334e-05,-0.07596048340525385,-0.07588520252863717,7.528087661667904e-05,52.021485070283255
Norman,3,ZC3HAV1,0.015732611420794466,0.014285165455680263,0.09200290570966821,0.47322631478909616,0.5216910244798894,0.048464709690793195,29.545833400349323
Norman,3,ZNF318,0.06787224507080752,0.06752064535378725,0.005180316588223437,-0.1337924897389755,-0.12791908569677757,0.005873404042197938,8.730302390211026
Wessels,1,ATXN7L3,0.06427460342722274,0.06427475156996144,-2.3048409605353548e-06,-0.0004944338425851846,-0.0004967398231370268,-2.3059805518421683e-06,121.4344257416779
Wessels,1,DOT1L,0.006811836969029937,0.006813212745179657,-0.00020196844932939985,-0.0003253968229801618,-0.0005274309922012055,-0.00020203416922104367,164.67013867107664
Wessels,1,EP300,0.04056616091877581,0.040566341676434275,-4.455872933799947e-06,-0.11559118196031148,-0.1155961528928644,-4.970932552916807e-06,153.69256345106828
Wessels,1,FLI1,0.080866588387603,0.08085713888845002,0.00011685294682749562,-0.02906675228442923,-0.028946502801942442,0.00012024948248678946,62.57973585699201
Wessels,1,HDAC3,0.026576494497669655,0.026539767318120584,0.0013819422103351798,-0.005831959508722173,-0.00444195786737267,0.001390001641349503,154.3794869220917
Wessels,1,RCOR1,0.008540048810531027,0.008532750308056884,0.000854620697851655,-0.004911067934527447,-0.004052250136370228,0.0008588177981572187,172.061801872616
Wessels,1,RING1,0.02596341125836891,0.025992690603985978,-0.0011277156659309183,-0.2030873269126796,-0.20444406733872178,-0.001356740426042169,192.9401710752515
Wessels,1,SMARCA5,0.021393339985907606,0.021193571984275475,0.00933785943493275,-0.029558125692007664,-0.01994425663420296,0.009613869057804703,173.3530292578762
Wessels,1,SMARCD1,0.020375695801921695,0.02037514902326015,2.6834846125547767e-05,-0.013923773810889939,-0.01389656532243655,2.7208488453389634e-05,132.7578657663679
Wessels,1,SUPT16H,0.021136679182204163,0.020005824777930874,0.053501990285465546,-0.0013042031541228294,0.05226756459582471,0.05357176774994754,138.53008046821054
Wessels,2,ATXN7L3,0.08714308093541764,0.08714311241505271,-3.612407861579321e-07,-0.002219832355977891,-0.0022201943986581707,-3.620426802797283e-07,107.2599841616362
Wessels,2,DOT1L,0.008533852243770065,0.008534344826527464,-5.772103187733689e-05,-0.0003567210960198075,-0.0004144627182069982,-5.77416221871907e-05,163.60032778633982
Wessels,2,EP300,0.03915662706113465,0.039156791329544416,-4.19516240525798e-06,-0.1385050510878485,-0.13850982730143713,-4.776213588630895e-06,171.3738194639807
Wessels,2,FLI1,0.07880062077715866,0.07877508104917141,0.00032410566992192933,-0.0009186184122527141,-0.0005942150128948054,0.00032440339935790874,67.41113568204001
Wessels,2,GFI1,0.20965053592151325,0.20965045478831995,3.8699253949429894e-07,-0.06584522187212083,-0.06584480939797155,4.124741492805839e-07,54.13705278433713
Wessels,2,GSE1,0.08961010133238263,0.08955887610889615,0.0005716456373202415,-0.038550582734544925,-0.03795689982478834,0.0005936829097565877,67.03294233800557
Wessels,2,HDAC3,0.02191829506823109,0.02188528394966166,0.001506098830527889,-0.000219550497189136,0.001286878998085883,0.001506429495275019,142.01297578398163
Wessels,2,MED24,0.06881202567835197,0.06879413009083322,0.0002600648264940667,-0.12026720869782581,-0.1199758666005688,0.000291342097257008,90.12879878272375
Wessels,2,RING1,0.032637532155973786,0.03265248075569662,-0.0004580186899976298,-0.17210961404518654,-0.17264646215514512,-0.0005368481099585765,181.56529966944564
Wessels,2,SMARCD1,0.023724713190689133,0.023722515213921862,9.264503008334618e-05,-0.0017912348961541813,-0.001698423917060099,9.281097909408231e-05,149.33033604988103
Wessels,2,SUPT16H,0.014716176373901104,0.01383444234266048,0.059915973336957556,-8.826303575570904e-06,0.05990767586995149,0.059916502173527064,127.10166664973264
Wessels,3,DOT1L,0.00660694317969557,0.006607373486067847,-6.512941924486928e-05,-0.0007303240392857457,-0.0007955010241109672,-6.51769848252215e-05,225.39870734723752
Wessels,3,EP300,0.04066855608792194,0.04066951006257795,-2.3457303326536854e-05,-0.19070509954382087,-0.1907330302745136,-2.7930730692737882e-05,135.10604068011492
Wessels,3,GSE1,0.13681858846262496,0.13678760842076193,0.00022643152667438694,-0.061416418808913464,-0.06117608066876534,0.00024033814014812194,47.53334787341539
Wessels,3,HDAC3,0.017954821736522558,0.017908286832302337,0.002591777568337648,-0.0004922004658809431,0.0021008527765831175,0.0025930532424640607,216.4122832746815
Wessels,3,INTS1,0.05472651945092559,0.05473570540161306,-0.0001678519076241513,-2.384628896945351e-05,-0.0001917021992385859,-0.00016785591026913238,64.12645722577753
Wessels,3,MED24,0.07115357102632341,0.07112881460415699,0.00034792944063578906,-0.11396968742144176,-0.11358210457121176,0.00038758285022999495,97.60127433324578
Wessels,3,RCOR1,0.010719306591482085,0.01071082025117274,0.0007916874321039313,-4.107188654289828e-06,0.000787583495059363,0.0007916906837136528,126.4130215651204
