dataset,seed,condition,control,nir
Replogle_exp6,1,CHEK1,technical_duplicate,0.7804878048780488
Replogle_exp6,1,FDPS,technical_duplicate,1.0
Replogle_exp6,1,HMGCR,technical_duplicate,0.975609756097561
Replogle_exp6,1,HSPE1,technical_duplicate,1.0
Replogle_exp6,1,HUS1,technical_duplicate,1.0
Replogle_exp6,1,MTOR,technical_duplicate,1.0
Replogle_exp6,1,TOPBP1,technical_duplicate,0.975609756097561
Replogle_exp6,1,CHEK1+FDPS,technical_duplicate,0.36585365853658536
Replogle_exp6,1,FDPS+HMGCR,technical_duplicate,1.0
Replogle_exp6,1,FDPS+HUS1,technical_duplicate,1.0
Replogle_exp6,1,FDPS+TOPBP1,technical_duplicate,0.5853658536585366
Replogle_exp6,1,HMGCR+HUS1,technical_duplicate,1.0
Replogle_exp6,1,AHCYL1+FDPS,interpolated_duplicate,0.5121951219512195
Replogle_exp6,1,ATM+FDPS,interpolated_duplicate,0.24390243902439024
Replogle_exp6,1,ATR+FDPS,interpolated_duplicate,1.0
Replogle_exp6,1,ETAA1+FDPS,interpolated_duplicate,0.6829268292682927
Replogle_exp6,1,ETAA1+TOPBP1,interpolated_duplicate,0.6585365853658537
Replogle_exp6,1,FDPS+IDI1,interpolated_duplicate,0.7804878048780488
Replogle_exp6,1,FDPS+LIG4,interpolated_duplicate,0.36585365853658536
Replogle_exp6,1,FDPS+MVD,interpolated_duplicate,0.34146341463414637
Replogle_exp6,1,FDPS+NHEJ1,interpolated_duplicate,0.3902439024390244
Replogle_exp6,1,FDPS+PMVK,interpolated_duplicate,0.926829268292683
Replogle_exp6,1,FDPS+PRKDC,interpolated_duplicate,0.6829268292682927
Replogle_exp6,1,FDPS+RAD1,interpolated_duplicate,0.6097560975609756
Replogle_exp6,1,FDPS+RAD9A,interpolated_duplicate,0.43902439024390244
Replogle_exp6,1,FDPS+RAD17,interpolated_duplicate,0.7073170731707317
Replogle_exp6,1,FDPS+RRM1,interpolated_duplicate,1.0
Replogle_exp6,1,FDPS+RRM2B,interpolated_duplicate,0.34146341463414637
Replogle_exp6,1,FDPS+SQLE,interpolated_duplicate,1.0
Replogle_exp6,1,FDPS+SREBF1,interpolated_duplicate,0.6097560975609756
Replogle_exp6,1,FDPS+SREBF2,interpolated_duplicate,1.0
Replogle_exp6,1,FDPS+XRCC5,interpolated_duplicate,0.21951219512195122
Replogle_exp6,1,FDPS+XRCC6,interpolated_duplicate,1.0
Replogle_exp6,1,HMGCR+SREBF1,interpolated_duplicate,0.8292682926829268
Replogle_exp6,1,HMGCR+SREBF2,interpolated_duplicate,0.9512195121951219
Replogle_exp6,1,HUS1+IDI1,interpolated_duplicate,0.7317073170731707
Replogle_exp6,1,HUS1+MVD,interpolated_duplicate,1.0
Replogle_exp6,1,HUS1+PMVK,interpolated_duplicate,0.975609756097561
Replogle_exp6,1,HUS1+RRM1,interpolated_duplicate,0.9024390243902439
Replogle_exp6,1,HUS1+SQLE,interpolated_duplicate,0.975609756097561
Replogle_exp6,1,HUS1+SREBF1,interpolated_duplicate,0.24390243902439024
Replogle_exp6,1,HUS1+SREBF2,interpolated_duplicate,1.0
Replogle_exp6,1,CHEK1,interpolated_duplicate,0.2926829268292683
Replogle_exp6,1,FDPS,interpolated_duplicate,1.0
Replogle_exp6,1,HMGCR,interpolated_duplicate,0.926829268292683
Replogle_exp6,1,HSPE1,interpolated_duplicate,1.0
Replogle_exp6,1,HUS1,interpolated_duplicate,1.0
Replogle_exp6,1,MTOR,interpolated_duplicate,0.975609756097561
Replogle_exp6,1,TOPBP1,interpolated_duplicate,0.975609756097561
Replogle_exp6,1,CHEK1+FDPS,interpolated_duplicate,0.17073170731707318
Replogle_exp6,1,FDPS+HMGCR,interpolated_duplicate,1.0
Replogle_exp6,1,FDPS+HUS1,interpolated_duplicate,1.0
Replogle_exp6,1,FDPS+TOPBP1,interpolated_duplicate,0.5121951219512195
Replogle_exp6,1,HMGCR+HUS1,interpolated_duplicate,1.0
Replogle_exp6,2,AHCYL1+FDPS,mean_negative,0.4
Replogle_exp6,2,ATM+FDPS,mean_negative,0.22857142857142856
Replogle_exp6,2,ATR+FDPS,mean_negative,0.42857142857142855
Replogle_exp6,2,CHEK1+FDPS,mean_negative,0.17142857142857143
Replogle_exp6,2,ETAA1+FDPS,mean_negative,0.5714285714285714
Replogle_exp6,2,FDPS+HMGCR,mean_negative,0.9142857142857143
Replogle_exp6,2,FDPS+HUS1,mean_negative,0.6857142857142857
Replogle_exp6,2,FDPS+IDI1,mean_negative,0.37142857142857144
Replogle_exp6,2,FDPS+LIG4,mean_negative,0.3142857142857143
Replogle_exp6,2,FDPS+MVD,mean_negative,0.14285714285714285
Replogle_exp6,2,FDPS+NHEJ1,mean_negative,0.34285714285714286
Replogle_exp6,2,FDPS+PRKDC,mean_negative,0.2571428571428571
Replogle_exp6,2,FDPS+RAD1,mean_negative,0.5142857142857142
Replogle_exp6,2,FDPS+RAD9A,mean_negative,0.45714285714285713
Replogle_exp6,2,FDPS+RRM1,mean_negative,0.7142857142857143
Replogle_exp6,2,FDPS+RRM2B,mean_negative,0.2857142857142857
Replogle_exp6,2,FDPS+SQLE,mean_negative,0.2
Replogle_exp6,2,FDPS+SREBF1,mean_negative,0.5428571428571428
Replogle_exp6,2,FDPS+TOPBP1,mean_negative,0.4857142857142857
Replogle_exp6,2,FDPS+XRCC6,mean_negative,0.02857142857142857
Replogle_exp6,2,HMGCR+SREBF2,mean_negative,0.8857142857142857
Replogle_exp6,2,HUS1+PMVK,mean_negative,1.0
Replogle_exp6,2,HUS1+SREBF2,mean_negative,0.9714285714285714
Replogle_exp6,2,ETAA1+TOPBP1,mean_negative,0.6
Replogle_exp6,2,HUS1+RRM1,mean_negative,0.8285714285714286
Replogle_exp6,2,FDPS,mean_negative,0.7714285714285715
Replogle_exp6,2,HSPE1,mean_negative,0.0
Replogle_exp6,2,MTOR,mean_negative,0.05714285714285714
Replogle_exp6,2,PMVK,mean_negative,0.8571428571428571
Replogle_exp6,2,RAD17,mean_negative,0.8
Replogle_exp6,2,SREBF2,mean_negative,0.9428571428571428
Replogle_exp6,2,XRCC5,mean_negative,0.08571428571428572
Replogle_exp6,2,FDPS+PMVK,mean_negative,0.6571428571428571
Replogle_exp6,2,FDPS+RAD17,mean_negative,0.6285714285714286
Replogle_exp6,2,FDPS+SREBF2,mean_negative,0.7428571428571429
Replogle_exp6,2,FDPS+XRCC5,mean_negative,0.11428571428571428
Replogle_exp6,2,AHCYL1+FDPS,control_negative,0.6285714285714286
Replogle_exp6,2,ATM+FDPS,control_negative,0.22857142857142856
Replogle_exp6,2,ATR+FDPS,control_negative,0.45714285714285713
Replogle_exp6,2,CHEK1+FDPS,control_negative,0.2
Replogle_exp6,2,ETAA1+FDPS,control_negative,0.5428571428571428
Replogle_exp6,2,FDPS+HMGCR,control_negative,0.8857142857142857
Replogle_exp6,2,FDPS+HUS1,control_negative,0.4857142857142857
Replogle_exp6,2,FDPS+IDI1,control_negative,0.3142857142857143
Replogle_exp6,2,FDPS+LIG4,control_negative,0.34285714285714286
Replogle_exp6,2,FDPS+MVD,control_negative,0.14285714285714285
Replogle_exp6,2,FDPS+NHEJ1,control_negative,0.42857142857142855
Replogle_exp6,2,FDPS+PRKDC,control_negative,0.37142857142857144
Replogle_exp6,2,FDPS+RAD1,control_negative,0.5142857142857142
Replogle_exp6,2,FDPS+RAD9A,control_negative,0.2857142857142857
Replogle_exp6,2,FDPS+RRM1,control_negative,0.6571428571428571
Replogle_exp6,2,FDPS+RRM2B,control_negative,0.2571428571428571
Replogle_exp6,2,FDPS+SQLE,control_negative,0.17142857142857143
Replogle_exp6,2,FDPS+SREBF1,control_negative,0.4
Replogle_exp6,2,FDPS+TOPBP1,control_negative,0.6
Replogle_exp6,2,FDPS+XRCC6,control_negative,0.02857142857142857
Replogle_exp6,2,HMGCR+SREBF2,control_negative,0.8285714285714286
Replogle_exp6,2,HUS1+PMVK,control_negative,1.0
Replogle_exp6,2,HUS1+SREBF2,control_negative,0.9714285714285714
Replogle_exp6,2,ETAA1+TOPBP1,control_negative,0.7428571428571429
Replogle_exp6,2,HUS1+RRM1,control_negative,0.7142857142857143
Replogle_exp6,2,FDPS,control_negative,0.5714285714285714
Replogle_exp6,2,HSPE1,control_negative,0.0
Replogle_exp6,2,MTOR,control_negative,0.05714285714285714
Replogle_exp6,2,PMVK,control_negative,0.8571428571428571
Replogle_exp6,2,RAD17,control_negative,0.9142857142857143
Replogle_exp6,2,SREBF2,control_negative,0.9428571428571428
Replogle_exp6,2,XRCC5,control_negative,0.08571428571428572
Replogle_exp6,2,FDPS+PMVK,control_negative,0.8
Replogle_exp6,2,FDPS+RAD17,control_negative,0.6857142857142857
Replogle_exp6,2,FDPS+SREBF2,control_negative,0.7714285714285715
Replogle_exp6,2,FDPS+XRCC5,control_negative,0.11428571428571428
Replogle_exp6,2,AHCYL1+FDPS,technical_duplicate,0.8
Replogle_exp6,2,ATM+FDPS,technical_duplicate,0.22857142857142856
Replogle_exp6,2,ATR+FDPS,technical_duplicate,1.0
Replogle_exp6,2,CHEK1+FDPS,technical_duplicate,0.3142857142857143
Replogle_exp6,2,ETAA1+FDPS,technical_duplicate,0.8857142857142857
Replogle_exp6,2,FDPS+HMGCR,technical_duplicate,1.0
Replogle_exp6,2,FDPS+HUS1,technical_duplicate,1.0
Replogle_exp6,2,FDPS+IDI1,technical_duplicate,0.9714285714285714
Replogle_exp6,2,FDPS+LIG4,technical_duplicate,0.6571428571428571
Replogle_exp6,2,FDPS+MVD,technical_duplicate,1.0
Replogle_exp6,2,FDPS+NHEJ1,technical_duplicate,0.42857142857142855
Replogle_exp6,2,FDPS+PRKDC,technical_duplicate,0.9428571428571428
Replogle_exp6,2,FDPS+RAD1,technical_duplicate,0.6
Replogle_exp6,2,FDPS+RAD9A,technical_duplicate,0.9714285714285714
Replogle_exp6,2,FDPS+RRM1,technical_duplicate,1.0
Replogle_exp6,2,FDPS+RRM2B,technical_duplicate,0.8
Replogle_exp6,2,FDPS+SQLE,technical_duplicate,1.0
Replogle_exp6,2,FDPS+SREBF1,technical_duplicate,1.0
Replogle_exp6,2,FDPS+TOPBP1,technical_duplicate,0.6
Replogle_exp6,2,FDPS+XRCC6,technical_duplicate,1.0
Replogle_exp6,2,HMGCR+SREBF2,technical_duplicate,1.0
Replogle_exp6,2,HUS1+PMVK,technical_duplicate,1.0
Replogle_exp6,2,HUS1+SREBF2,technical_duplicate,1.0
Replogle_exp6,2,ETAA1+TOPBP1,technical_duplicate,0.7714285714285715
Replogle_exp6,2,HUS1+RRM1,technical_duplicate,1.0
Replogle_exp6,2,FDPS,technical_duplicate,1.0
Replogle_exp6,2,HSPE1,technical_duplicate,1.0
Replogle_exp6,2,MTOR,technical_duplicate,1.0
Replogle_exp6,2,PMVK,technical_duplicate,0.9714285714285714
Replogle_exp6,2,RAD17,technical_duplicate,0.9428571428571428
