dataset,seed,condition,control,nir
Schmidt,3,EMP3+VAV1,interpolated_duplicate,0.0
Schmidt,3,JMJD1C+TNFRSF1B,interpolated_duplicate,0.14814814814814814
Schmidt,3,MGST3+TRIM21,interpolated_duplicate,0.4444444444444444
Schmidt,3,PRKD2+TNFRSF1B,interpolated_duplicate,0.3333333333333333
Schmidt,3,TNFRSF1B+TRAF3IP2,interpolated_duplicate,0.4444444444444444
Schmidt,3,TNFRSF12A+TRAF3IP2,interpolated_duplicate,0.1111111111111111
Schmidt,3,PRKD2+VAV1,interpolated_duplicate,0.6296296296296297
Schmidt,3,TNFRSF1A+TRAF3IP2,interpolated_duplicate,0.5185185185185185
Schmidt,3,TRAF3IP2+TRIM21,interpolated_duplicate,0.5555555555555556
Schmidt,3,ABCB10,interpolated_duplicate,1.0
Schmidt,3,APOL2,interpolated_duplicate,1.0
Schmidt,3,EMP3,interpolated_duplicate,1.0
Schmidt,3,FOSB,interpolated_duplicate,1.0
Schmidt,3,LCP2,interpolated_duplicate,1.0
Schmidt,3,LHX6,interpolated_duplicate,1.0
Schmidt,3,MGST3,interpolated_duplicate,1.0
Schmidt,3,TNFRSF1B,interpolated_duplicate,1.0
Schmidt,3,TNFRSF12A,interpolated_duplicate,1.0
Schmidt,3,EMP3+LCP2,interpolated_duplicate,0.18518518518518517
Schmidt,3,EMP3+TNFRSF1B,interpolated_duplicate,0.6666666666666666
