query_id,seed,pair,estimated_witness_risk,geometry_risk,selected_rho,selected_length_factor,selected_noise_ratio
125::IKZF3+MAPK1,125,IKZF3+MAPK1,0.140254077852736,0.1343354011983021,0.75,2.0,0.1
125::FOXA1+HOXB9,125,FOXA1+HOXB9,0.0667802603464739,0.1463664635661768,0.75,2.0,0.1
125::KLF1+TGFBR2,125,KLF1+TGFBR2,0.0629764405858745,0.1268472628510544,0.75,2.0,0.1
125::DLX2+ZBTB10,125,DLX2+ZBTB10,0.219102716896785,0.1648393689585263,0.75,2.0,0.1
125::FOXF1+HOXB9,125,FOXF1+HOXB9,0.0651259783319909,0.1502146066149775,0.75,2.0,0.1
125::ETS2+MAP7D1,125,ETS2+MAP7D1,0.1181221153524491,0.1512662955500145,0.75,2.0,0.1
126::FOSB+UBASH3B,126,FOSB+UBASH3B,0.0623841324146862,0.1315766769762096,0.5,0.5,0.1
126::CDKN1A+CDKN1B,126,CDKN1A+CDKN1B,0.1380109152594427,0.1716232204327383,0.5,0.5,0.1
126::TBX2+TBX3,126,TBX2+TBX3,0.1494924123871746,0.1695044152422107,0.5,0.5,0.1
126::IKZF3+MAPK1,126,IKZF3+MAPK1,0.1318892162446896,0.1341008530280204,0.5,0.5,0.1
126::FOXA1+HOXB9,126,FOXA1+HOXB9,0.0579949480376571,0.1409361364454691,0.5,0.5,0.1
126::KLF1+TGFBR2,126,KLF1+TGFBR2,0.060038153859453,0.1205167007963904,0.5,0.5,0.1
126::CNN1+UBASH3B,126,CNN1+UBASH3B,0.047093240218522,0.1260406343852366,0.5,0.5,0.1
127::SAMD1+UBASH3B,127,SAMD1+UBASH3B,0.0629866638841781,0.1684059968634929,0.9,2.0,0.1
127::CEBPB+CEBPE,127,CEBPB+CEBPE,0.1474875093396343,0.1643078973090358,0.9,2.0,0.1
127::PTPN9+UBASH3B,127,PTPN9+UBASH3B,0.0683372339088857,0.1705538470978749,0.9,2.0,0.1
127::IKZF3+MAPK1,127,IKZF3+MAPK1,0.3941637174032713,0.173477544787263,0.9,2.0,0.1
127::FOXF1+HOXB9,127,FOXF1+HOXB9,0.068571058940658,0.1757722741881389,0.9,2.0,0.1
128::CEBPB+LYL1,128,CEBPB+LYL1,0.1125886915033848,0.1371150331690745,0.5,4.0,0.3
128::BAK1+KLF1,128,BAK1+KLF1,0.1012636110136727,0.1297905543883372,0.5,4.0,0.3
128::CEBPE+KLF1,128,CEBPE+KLF1,0.1106900504296547,0.1155918706964076,0.5,4.0,0.3
128::SNAI1+UBASH3B,128,SNAI1+UBASH3B,0.0871100916889968,0.1160631663384239,0.5,4.0,0.3
128::CNN1+UBASH3B,128,CNN1+UBASH3B,0.08371698924403,0.1170036244801694,0.5,4.0,0.3
129::CEBPB+LYL1,129,CEBPB+LYL1,0.0861943617715582,0.136167591007293,0.75,1.0,0.1
129::ELMSAN1+MAP2K3,129,ELMSAN1+MAP2K3,0.0755141086326695,0.1343206979951028,0.75,1.0,0.1
129::CDKN1A+CDKN1B,129,CDKN1A+CDKN1B,0.1071438616872085,0.1635146888176491,0.75,1.0,0.1
129::TBX2+TBX3,129,TBX2+TBX3,0.1198019955088191,0.1614959889557028,0.75,1.0,0.1
129::KLF1+TGFBR2,129,KLF1+TGFBR2,0.059124989511103,0.1150203514456257,0.75,1.0,0.1
129::SNAI1+UBASH3B,129,SNAI1+UBASH3B,0.0850468382454712,0.1213733774787447,0.75,1.0,0.1
