DataSet,seed,perturb,subgroup,DEG,method,cor,mse
Norman,1,CLDN6+KLF1,combo_seen1,100,WitnessCell,0.8823004725833711,0.0706454272394951
Norman,1,CLDN6+KLF1,combo_seen1,100,factorized_only,0.8823004725833711,0.0706454272394951
Norman,1,CLDN6+KLF1,combo_seen1,5000,WitnessCell,0.7515770751098177,0.0035652624631960323
Norman,1,CLDN6+KLF1,combo_seen1,5000,factorized_only,0.7515770751098177,0.0035652624631960323
Norman,1,CNN1+MAPK1,combo_seen1,100,WitnessCell,0.9241212223460699,0.014578330534589347
Norman,1,CNN1+MAPK1,combo_seen1,100,factorized_only,0.9182304752784908,0.024165936551806683
Norman,1,CNN1+MAPK1,combo_seen1,5000,WitnessCell,0.8752315232534371,0.0009449314111235859
Norman,1,CNN1+MAPK1,combo_seen1,5000,factorized_only,0.864588832821913,0.0016490547434908215
Norman,1,CNN1+UBASH3A,combo_seen1,100,WitnessCell,0.8033970345376773,0.20773448532967964
Norman,1,CNN1+UBASH3A,combo_seen1,100,factorized_only,0.8033970345376773,0.20773448532967964
Norman,1,CNN1+UBASH3A,combo_seen1,5000,WitnessCell,0.6612971195703682,0.006323501462964304
Norman,1,CNN1+UBASH3A,combo_seen1,5000,factorized_only,0.6612971195703682,0.006323501462964304
Norman,1,CNN1+UBASH3B,combo_seen1,100,WitnessCell,0.9203228131539103,0.16413049887846248
Norman,1,CNN1+UBASH3B,combo_seen1,100,factorized_only,0.8925871011619255,0.17888396455885225
Norman,1,CNN1+UBASH3B,combo_seen1,5000,WitnessCell,0.8489839225158865,0.004474667335841521
Norman,1,CNN1+UBASH3B,combo_seen1,5000,factorized_only,0.7946657127147899,0.004887653065165447
Norman,1,COL2A1+KLF1,combo_seen1,100,WitnessCell,0.8414697083607915,0.04746307614466352
Norman,1,COL2A1+KLF1,combo_seen1,100,factorized_only,0.8414697083607915,0.04746307614466352
Norman,1,COL2A1+KLF1,combo_seen1,5000,WitnessCell,0.6788789157514484,0.003366545598373857
Norman,1,COL2A1+KLF1,combo_seen1,5000,factorized_only,0.6788789157514484,0.003366545598373857
Norman,1,DLX2+SNAI1,combo_seen1,100,WitnessCell,0.6009590560079244,0.11001364993381085
Norman,1,DLX2+SNAI1,combo_seen1,100,factorized_only,0.6009590560079244,0.11001364993381085
Norman,1,DLX2+SNAI1,combo_seen1,5000,WitnessCell,0.687435915688172,0.004748493235229688
Norman,1,DLX2+SNAI1,combo_seen1,5000,factorized_only,0.687435915688172,0.004748493235229688
Norman,1,DLX2+ZBTB10,combo_seen1,100,WitnessCell,0.9066332762463752,0.09463473635352485
Norman,1,DLX2+ZBTB10,combo_seen1,100,factorized_only,0.9066332762463752,0.09463473635352485
Norman,1,DLX2+ZBTB10,combo_seen1,5000,WitnessCell,0.8315834705596623,0.006395797039291432
Norman,1,DLX2+ZBTB10,combo_seen1,5000,factorized_only,0.8315834705596623,0.006395797039291432
Norman,1,DUSP9+ETS2,combo_seen1,100,WitnessCell,0.7510690859555819,0.06515954750034739
Norman,1,DUSP9+ETS2,combo_seen1,100,factorized_only,0.7510690859555819,0.06515954750034739
Norman,1,DUSP9+ETS2,combo_seen1,5000,WitnessCell,0.5704372053095694,0.0029044384213638163
Norman,1,DUSP9+ETS2,combo_seen1,5000,factorized_only,0.5704372053095694,0.0029044384213638163
Norman,1,DUSP9+KLF1,combo_seen1,100,WitnessCell,0.6172691552354648,0.24708535092272538
Norman,1,DUSP9+KLF1,combo_seen1,100,factorized_only,0.6172691552354648,0.24708535092272538
Norman,1,DUSP9+KLF1,combo_seen1,5000,WitnessCell,0.4510354111482307,0.0072084104616945924
Norman,1,DUSP9+KLF1,combo_seen1,5000,factorized_only,0.4510354111482307,0.0072084104616945924
Norman,1,ETS2+IGDCC3,combo_seen1,100,WitnessCell,0.8951509602304322,0.016890059810176928
Norman,1,ETS2+IGDCC3,combo_seen1,100,factorized_only,0.8963456015134452,0.020190205452638964
Norman,1,ETS2+IGDCC3,combo_seen1,5000,WitnessCell,0.779720060858982,0.0015676278435771689
Norman,1,ETS2+IGDCC3,combo_seen1,5000,factorized_only,0.7879466279449308,0.0018469117749733996
Norman,1,ETS2+IKZF3,combo_seen1,100,WitnessCell,0.98697920937449,0.012888757002597792
Norman,1,ETS2+IKZF3,combo_seen1,100,factorized_only,0.9796219140892473,0.01907918684130794
Norman,1,ETS2+IKZF3,combo_seen1,5000,WitnessCell,0.9348697026446271,0.0013936510420507677
Norman,1,ETS2+IKZF3,combo_seen1,5000,factorized_only,0.9269138107573908,0.0016216984991369613
Norman,1,ETS2+MAP7D1,combo_seen1,100,WitnessCell,0.589947819456653,0.07935512156773562
Norman,1,ETS2+MAP7D1,combo_seen1,100,factorized_only,0.589947819456653,0.07935512156773562
Norman,1,ETS2+MAP7D1,combo_seen1,5000,WitnessCell,0.5537152789061824,0.0027891655046162534
Norman,1,ETS2+MAP7D1,combo_seen1,5000,factorized_only,0.5537152789061824,0.0027891655046162534
Norman,1,ETS2+MAPK1,combo_seen1,100,WitnessCell,0.9789457868196957,0.07573180785660409
Norman,1,ETS2+MAPK1,combo_seen1,100,factorized_only,0.9804219500964323,0.05081585441673916
Norman,1,ETS2+MAPK1,combo_seen1,5000,WitnessCell,0.9406895609516137,0.002485992427707992
Norman,1,ETS2+MAPK1,combo_seen1,5000,factorized_only,0.934232267674213,0.0018379425538545462
Norman,1,ETS2+PRTG,combo_seen1,100,WitnessCell,0.9202879681686158,0.015591267636231096
Norman,1,ETS2+PRTG,combo_seen1,100,factorized_only,0.9211147772094794,0.018481424676580527
Norman,1,ETS2+PRTG,combo_seen1,5000,WitnessCell,0.8438565210626469,0.0012255735821676901
Norman,1,ETS2+PRTG,combo_seen1,5000,factorized_only,0.8455764586913361,0.0014932060435612728
Norman,1,ETS2+TGFBR2,combo_seen1,100,WitnessCell,0.050566558544856303,0.04942601611489371
Norman,1,ETS2+TGFBR2,combo_seen1,100,factorized_only,-0.04011549846802068,0.051657871060904546
Norman,1,ETS2+TGFBR2,combo_seen1,5000,WitnessCell,0.15262447290889544,0.0023026252738278406
Norman,1,ETS2+TGFBR2,combo_seen1,5000,factorized_only,0.11054636905137924,0.002259207527035997
Norman,1,FEV+ISL2,combo_seen1,100,WitnessCell,0.6011086109111862,0.23508019442266623
Norman,1,FEV+ISL2,combo_seen1,100,factorized_only,0.6011086109111862,0.23508019442266623
Norman,1,FEV+ISL2,combo_seen1,5000,WitnessCell,0.5201875254061107,0.008775359518536727
Norman,1,FEV+ISL2,combo_seen1,5000,factorized_only,0.5201875254061107,0.008775359518536727
Norman,1,FEV+MAP7D1,combo_seen1,100,WitnessCell,0.6451161309552538,0.153205671413204
Norman,1,FEV+MAP7D1,combo_seen1,100,factorized_only,0.6451161309552538,0.153205671413204
Norman,1,FEV+MAP7D1,combo_seen1,5000,WitnessCell,0.5643187756741248,0.005363411186435725
Norman,1,FEV+MAP7D1,combo_seen1,5000,factorized_only,0.5643187756741248,0.005363411186435725
Norman,1,FOSB+PTPN12,combo_seen1,100,WitnessCell,0.550026480125107,0.03818695118289377
Norman,1,FOSB+PTPN12,combo_seen1,100,factorized_only,0.6068399617857299,0.03330617267835874
Norman,1,FOSB+PTPN12,combo_seen1,5000,WitnessCell,0.4236113750015619,0.00294221017010376
Norman,1,FOSB+PTPN12,combo_seen1,5000,factorized_only,0.4663341366167479,0.00273424066251279
Norman,1,FOXA1+KLF1,combo_seen1,100,WitnessCell,0.6397919803658908,0.07162286639790938
Norman,1,FOXA1+KLF1,combo_seen1,100,factorized_only,0.6078375899298537,0.07724267862203883
Norman,1,FOXA1+KLF1,combo_seen1,5000,WitnessCell,0.5516494299815,0.0033657840872445156
Norman,1,FOXA1+KLF1,combo_seen1,5000,factorized_only,0.520915170291727,0.0034760487677883106
Norman,1,IRF1+SET,combo_seen1,100,WitnessCell,0.8425087402411742,0.08836473504484686
Norman,1,IRF1+SET,combo_seen1,100,factorized_only,0.8425087402411742,0.08836473504484686
Norman,1,IRF1+SET,combo_seen1,5000,WitnessCell,0.7539952750165468,0.0042939978610987365
Norman,1,IRF1+SET,combo_seen1,5000,factorized_only,0.7539952750165468,0.0042939978610987365
Norman,1,KLF1+MAP2K6,combo_seen1,100,WitnessCell,0.3825120714311905,0.08413150602351152
Norman,1,KLF1+MAP2K6,combo_seen1,100,factorized_only,0.2627120713110509,0.08926515457614383
Norman,1,KLF1+MAP2K6,combo_seen1,5000,WitnessCell,0.25398782137531806,0.002647205317766128
Norman,1,KLF1+MAP2K6,combo_seen1,5000,factorized_only,0.2192393403521237,0.0028580664255662457
Norman,1,KLF1+TGFBR2,combo_seen1,100,WitnessCell,0.5610596106295782,0.08474415887659659
Norman,1,KLF1+TGFBR2,combo_seen1,100,factorized_only,0.5873745195032686,0.08479161398053879
Norman,1,KLF1+TGFBR2,combo_seen1,5000,WitnessCell,0.3248089022439954,0.0030304817303177926
Norman,1,KLF1+TGFBR2,combo_seen1,5000,factorized_only,0.3385208151212816,0.00288954922119324
Norman,1,OSR2+PTPN12,combo_seen1,100,WitnessCell,0.7484668622294575,0.02533942632125213
Norman,1,OSR2+PTPN12,combo_seen1,100,factorized_only,0.7363539884331661,0.026904814412064822
Norman,1,OSR2+PTPN12,combo_seen1,5000,WitnessCell,0.6165945892647906,0.002398955019056896
Norman,1,OSR2+PTPN12,combo_seen1,5000,factorized_only,0.606847218505395,0.002794894658612067
Norman,1,PTPN12+PTPN9,combo_seen1,100,WitnessCell,0.897025148843801,0.04100359776001336
Norman,1,PTPN12+PTPN9,combo_seen1,100,factorized_only,0.8712402100234695,0.05413468662340727
