dataset,seed,condition,subgroup,method,wmse,weighted_r2_deltapert,mse,r2_deltapert,pearson_deltactrl
Norman,1,CEBPA+KLF1,combo_seen1,trainMean,0.023623508693871052,0.8656013595747886,0.004319122297871003,0.6339780221655018,0.9462288062573712
Norman,1,CEBPA+KLF1,combo_seen1,baseControl,0.24536126684033893,-0.39590697993581747,0.01598757707771602,-0.35485966342087516,
Norman,1,CEBPB+PTPN12,combo_seen1,WitnessCell_v14,0.02048717779976522,0.4421464302740471,0.003727262561597796,-1.0830543236606234,0.754195695699553
Norman,1,CEBPB+PTPN12,combo_seen1,WitnessCell_v13,0.020483907296195897,0.44223548412562097,0.003727215551964439,-1.0830280513982324,0.7537511747112373
Norman,1,CEBPB+PTPN12,combo_seen1,trainMean,0.026891713754654475,0.2677547556474852,0.004863457458624696,-1.7180392901499295,0.759335313495357
Norman,1,CEBPB+PTPN12,combo_seen1,baseControl,0.05886726139110347,-0.6029202376226834,0.0036587111976655942,-1.0447430395286594,
Norman,1,CEBPE+CNN1,combo_seen1,WitnessCell_v14,0.04836146505538167,0.5295830125887298,0.0023844462110680412,0.009013544514924643,0.6524590163906688
Norman,1,CEBPE+CNN1,combo_seen1,WitnessCell_v13,0.053308555226522406,0.4814621533034513,0.0024062767951758914,-5.9343380716780914e-05,0.6486556199694519
Norman,1,CEBPE+CNN1,combo_seen1,trainMean,0.1097320946908317,-0.06737546820958107,0.0027960324848698274,-0.1620435423289197,0.5966772961685575
Norman,1,CEBPE+CNN1,combo_seen1,baseControl,0.11607854236903054,-0.1291080231295505,0.0037724886924047143,-0.5678630871564652,
Norman,1,CEBPE+ETS2,combo_seen1,WitnessCell_v14,0.17899650632411873,0.07145964089138379,0.005946827638099511,-0.011621921292348514,0.48921514971455093
Norman,1,CEBPE+ETS2,combo_seen1,WitnessCell_v13,0.1808108842586194,0.06204759607856836,0.005969878193215352,-0.015543078634079555,0.48651044653108266
Norman,1,CEBPE+ETS2,combo_seen1,trainMean,0.2181317693089188,-0.13155365747945713,0.006767970018006006,-0.15130742801422326,0.39246748842964263
Norman,1,CEBPE+ETS2,combo_seen1,baseControl,0.22201819345556859,-0.15171439551221,0.007453079729012303,-0.26785225566383186,
Norman,1,CEBPE+KLF1,combo_seen1,WitnessCell_v14,0.12085025061667225,-0.11929886560745051,0.004868088507797649,-0.7111722577829,0.20193942425020744
Norman,1,CEBPE+KLF1,combo_seen1,WitnessCell_v13,0.12499773151033923,-0.15771227919758823,0.004904478344829642,-0.7239635781326934,0.18651195124461284
Norman,1,CEBPE+KLF1,combo_seen1,trainMean,0.14845186605715394,-0.3749413379549771,0.004595889381023166,-0.6154920758011744,0.16372949852703522
Norman,1,CEBPE+KLF1,combo_seen1,baseControl,0.12131839229409797,-0.1236347312412609,0.0023803400402095955,0.1632913340889074,
Norman,1,CEBPE+PTPN12,combo_seen1,WitnessCell_v14,0.02926217868394835,0.5625404671884404,0.001944665257831305,-0.250687454049765,0.6605770616678814
Norman,1,CEBPE+PTPN12,combo_seen1,WitnessCell_v13,0.03432890660998891,0.4867946228564586,0.0019637410007791742,-0.26295578264025177,0.6550190683284551
Norman,1,CEBPE+PTPN12,combo_seen1,trainMean,0.07433822516581863,-0.1113309641881941,0.002265031381031867,-0.45672697132706785,0.5971933816750946
Norman,1,CEBPE+PTPN12,combo_seen1,baseControl,0.07780637828336553,-0.16317866353100752,0.0024541906686963355,-0.578382432052877,
Norman,1,CEBPE+RUNX1T1,combo_seen1,WitnessCell_v14,0.08899010550176176,0.27582223339797973,0.0027759252468688577,-0.15057492815484985,0.5561342828794906
Norman,1,CEBPE+RUNX1T1,combo_seen1,WitnessCell_v13,0.09311773714809882,0.24223266689340905,0.0027969164272961004,-0.15927542394060734,0.5521385940133302
Norman,1,CEBPE+RUNX1T1,combo_seen1,trainMean,0.14094614873067596,-0.14698220238559423,0.0034763775352726683,-0.4409007725972267,0.44140976642291285
Norman,1,CEBPE+RUNX1T1,combo_seen1,baseControl,0.1115150017867616,0.09252062933043059,0.0031176363573799225,-0.29220851028010997,
Norman,1,CEBPE+SET,combo_seen1,WitnessCell_v14,0.08563556580777136,0.29573242146101186,0.003549258360495912,-0.11699000320748998,0.5362933999829471
Norman,1,CEBPE+SET,combo_seen1,WitnessCell_v13,0.09180217896177018,0.24501814553152068,0.0035887384403630587,-0.12941481145145062,0.5289334489528059
Norman,1,CEBPE+SET,combo_seen1,trainMean,0.1327347230021619,-0.09161142423715485,0.0036940683507673093,-0.16256327375269874,0.49386412574694044
Norman,1,CEBPE+SET,combo_seen1,baseControl,0.12576782278374982,-0.03431558108528354,0.004113342641447456,-0.29451342889051735,
Norman,1,CLDN6+KLF1,combo_seen1,WitnessCell_v14,0.08357301317873174,0.6295390714632432,0.003912559437888672,0.2951702894204713,0.7435107746257743
Norman,1,CLDN6+KLF1,combo_seen1,WitnessCell_v13,0.08381566620661565,0.6284634435469697,0.0039178603305701585,0.2942153578178165,0.7424401799447039
Norman,1,CLDN6+KLF1,combo_seen1,trainMean,0.0637976744894335,0.7171988321242437,0.003908276688696203,0.29594180712435114,0.7572114916230107
Norman,1,CLDN6+KLF1,combo_seen1,baseControl,0.31422102531069296,-0.39287322994350404,0.008104714617514318,-0.46002731686930964,
Norman,1,CNN1+MAPK1,combo_seen1,WitnessCell_v14,0.014060847990143704,0.753088232723326,0.0012184916881626978,0.39530910283464704,0.8267806165154786
Norman,1,CNN1+MAPK1,combo_seen1,WitnessCell_v13,0.01299309767249251,0.7718381771168855,0.0012131117107367908,0.3979789801986088,0.8277507549164461
Norman,1,CNN1+MAPK1,combo_seen1,trainMean,0.04334954296502828,0.23877192388153767,0.0023930360457679765,-0.18757241228817545,0.813997293355772
Norman,1,CNN1+MAPK1,combo_seen1,baseControl,0.06130084069377834,-0.07645704738836123,0.003165204024973746,-0.5707698954095777,
Norman,1,CNN1+UBASH3A,combo_seen1,WitnessCell_v14,0.15263997991897882,0.06756366952822668,0.006228156000921654,0.04141679630025663,0.63644817158609
Norman,1,CNN1+UBASH3A,combo_seen1,WitnessCell_v13,0.15176695111029698,0.07289676626471409,0.006219775074919016,0.04270671500113543,0.6371766863336569
Norman,1,CNN1+UBASH3A,combo_seen1,trainMean,0.16211198770539115,0.009701737239907193,0.0060363539604710754,0.070937285893654,0.6391856539553306
Norman,1,CNN1+UBASH3A,combo_seen1,baseControl,0.20618724343894598,-0.25954207255759987,0.00959739486825978,-0.4771469305885272,
Norman,1,CNN1+UBASH3B,combo_seen1,WitnessCell_v14,0.24788231210329265,0.35730809213088877,0.004880440085535603,0.39989854608103714,0.85231590213448
Norman,1,CNN1+UBASH3B,combo_seen1,WitnessCell_v13,0.24678739741616668,0.3601469102912166,0.004871434761188188,0.40100584545141804,0.8527698121436018
Norman,1,CNN1+UBASH3B,combo_seen1,trainMean,0.269215761758808,0.3019962171358729,0.005016999628711662,0.38310711355237226,0.792674356368991
Norman,1,CNN1+UBASH3B,combo_seen1,baseControl,0.492716299779486,-0.27748033353639445,0.011024902267716376,-0.35562772295461764,
Norman,1,COL2A1+KLF1,combo_seen1,WitnessCell_v14,0.04621292990039434,0.6661387411603938,0.0037389813088033654,0.31325160828727094,0.6571725919746789
Norman,1,COL2A1+KLF1,combo_seen1,WitnessCell_v13,0.04692789229548411,0.6609735580447132,0.003760762700293663,0.309250963635743,0.6539573462431254
Norman,1,COL2A1+KLF1,combo_seen1,trainMean,0.04788084254363413,0.6540890525579455,0.003866781345353993,0.28977824420403064,0.6715593697065588
Norman,1,COL2A1+KLF1,combo_seen1,baseControl,0.17164885697355498,-0.24006211229384888,0.005460932932763762,-0.003023711297140297,
Norman,1,DLX2+SNAI1,combo_seen1,WitnessCell_v14,0.13066689541983117,0.03885269818799297,0.007253752807059037,0.14601638603870815,0.6634886092964905
Norman,1,DLX2+SNAI1,combo_seen1,WitnessCell_v13,0.1305701419391625,0.03956438837231113,0.00725532569737773,0.14583120981414555,0.663111924060557
Norman,1,DLX2+SNAI1,combo_seen1,trainMean,0.1306984368708992,0.03862068853863376,0.007251830116807066,0.146242744175466,0.6751299863061604
Norman,1,DLX2+SNAI1,combo_seen1,baseControl,0.16002221517664178,-0.17707641138052788,0.012571639608399365,-0.4800579109550056,
Norman,1,DLX2+ZBTB10,combo_seen1,WitnessCell_v14,0.07939195313541231,0.5770104598313341,0.008221747053062767,0.5225071237810361,0.8158761618091614
Norman,1,DLX2+ZBTB10,combo_seen1,WitnessCell_v13,0.07922897299566999,0.5778787958735102,0.008213970269684212,0.5229587745845932,0.8160564460146241
Norman,1,DLX2+ZBTB10,combo_seen1,trainMean,0.07658335720068826,0.5919742773976084,0.008023014366646392,0.5340488850907967,0.8130172677343527
Norman,1,DLX2+ZBTB10,combo_seen1,baseControl,0.22897292493117427,-0.2199366359272883,0.022955388365024296,-0.33317582557536607,
Norman,1,DUSP9+ETS2,combo_seen1,WitnessCell_v14,0.08529665386843949,0.3249860464297396,0.002441890906847545,0.025828693133572833,0.6196225323003987
Norman,1,DUSP9+ETS2,combo_seen1,WitnessCell_v13,0.07964321058563123,0.3697258214213778,0.002427301306831837,0.03164908817010181,0.6223916900690912
Norman,1,DUSP9+ETS2,combo_seen1,trainMean,0.1449195122998126,-0.1468526432215147,0.002956047834034183,-0.1792897764455863,0.5617083822535947
Norman,1,DUSP9+ETS2,combo_seen1,baseControl,0.1669712507845777,-0.321363957588636,0.003613007564260164,-0.44137819209028084,
Norman,1,DUSP9+KLF1,combo_seen1,WitnessCell_v14,0.26996323874409756,0.0638537890564903,0.0062916524232738595,0.09517252854913971,0.5066560286489921
Norman,1,DUSP9+KLF1,combo_seen1,WitnessCell_v13,0.2692887947798215,0.06619254512041961,0.006305423999828001,0.09319198354234925,0.504717660501717
Norman,1,DUSP9+KLF1,combo_seen1,trainMean,0.3231427063274596,-0.12055560427334888,0.007133262608150398,-0.025862767792433683,0.42915345954633344
Norman,1,DUSP9+KLF1,combo_seen1,baseControl,0.42312867263294485,-0.46727497221341063,0.00842402302195012,-0.2114921387263644,
Norman,1,ETS2+IGDCC3,combo_seen1,WitnessCell_v14,0.00929146260911691,0.8331583500097463,0.0019154243659241922,-0.2785222844896347,0.7329543476741727
Norman,1,ETS2+IGDCC3,combo_seen1,WitnessCell_v13,0.009313027550486769,0.8327711202966803,0.0019157313904198535,-0.2787272195769033,0.733085324034988
Norman,1,ETS2+IGDCC3,combo_seen1,trainMean,0.013650216892638976,0.7548906125007616,0.0024272118602547237,-0.6201341633324633,0.7517576185184932
Norman,1,ETS2+IGDCC3,combo_seen1,baseControl,0.07108053223521055,-0.27635376465612094,0.002256391310248634,-0.5061135401656567,
Norman,1,ETS2+IKZF3,combo_seen1,WitnessCell_v14,0.010250655104213803,0.9512150390663436,0.0017790801453265073,0.7154666768491942,0.918006218523125
Norman,1,ETS2+IKZF3,combo_seen1,WitnessCell_v13,0.0102635195246419,0.951153814662475,0.0017799533047049123,0.7153270299984154,0.9179764637822044
Norman,1,ETS2+IKZF3,combo_seen1,trainMean,0.019955108885394007,0.9050295617691186,0.002326268709216257,0.6279532610637046,0.9279942122104514
Norman,1,ETS2+IKZF3,combo_seen1,baseControl,0.326580327120095,-0.5542624679378001,0.010265894031422964,-0.6418534890336391,
Norman,1,ETS2+MAP7D1,combo_seen1,WitnessCell_v14,0.051857129554283954,0.19297288161735082,0.003020049576385959,0.24217659405364533,0.5005465984134732
Norman,1,ETS2+MAP7D1,combo_seen1,WitnessCell_v13,0.051873812111263615,0.19271325915073412,0.0030210737483867076,0.2419195977712164,0.5003566036418551
Norman,1,ETS2+MAP7D1,combo_seen1,trainMean,0.05048594368489912,0.21431197598003215,0.002877417600764245,0.277967347426593,0.5333613019733462
Norman,1,ETS2+MAP7D1,combo_seen1,baseControl,0.07234412490897198,-0.1258561968048415,0.004037739985659473,-0.013193257549092507,
Norman,1,ETS2+MAPK1,combo_seen1,WitnessCell_v14,0.06648177972092068,0.7360725646645578,0.0025633297550206576,0.7099980283592318,0.9328209786596307
Norman,1,ETS2+MAPK1,combo_seen1,WitnessCell_v13,0.06626263453866649,0.7369425537978401,0.0025612221293639732,0.7102364743081861,0.9328233101408551
Norman,1,ETS2+MAPK1,combo_seen1,trainMean,0.03726333116374048,0.8520675068058318,0.0016711211034956045,0.8109379357396348,0.9316875048514074
Norman,1,ETS2+MAPK1,combo_seen1,baseControl,0.3136926178870418,-0.24533501464814966,0.010893370295612922,-0.23242000267549168,
Norman,1,ETS2+PRTG,combo_seen1,WitnessCell_v14,0.00815106244070568,0.7624918472445082,0.0014624351566914807,0.1522380748854919,0.8160114126217731
Norman,1,ETS2+PRTG,combo_seen1,WitnessCell_v13,0.008174662126087237,0.7618041923870761,0.0014628970137728274,0.1519703400415786,0.8160545625675073
Norman,1,ETS2+PRTG,combo_seen1,trainMean,0.014352307826224278,0.5817980607581262,0.0019751198583057806,-0.1449611326339615,0.8287330418858071
Norman,1,ETS2+PRTG,combo_seen1,baseControl,0.04989070170260747,-0.4537305397007483,0.0029688024644319863,-0.7209909656613345,
Norman,1,ETS2+TGFBR2,combo_seen1,WitnessCell_v14,0.033129995992459776,-0.23899446176597627,0.0026666322465229465,-0.22012920416202264,0.07793722849030975
Norman,1,ETS2+TGFBR2,combo_seen1,WitnessCell_v13,0.033126383886298204,-0.23885937634276844,0.0026665862697392738,-0.22010816728431082,0.0787211646883348
Norman,1,ETS2+TGFBR2,combo_seen1,trainMean,0.034728875317661625,-0.2987892963143435,0.002539058667977626,-0.16175735740078845,0.044479245665049766
Norman,1,ETS2+TGFBR2,combo_seen1,baseControl,0.01778445675908783,0.3348974918366632,0.0014769937905582985,0.3241950551764474,
