dataset,seed,method,operations,wmse,weighted_r2_deltapert,mse,r2_deltapert,pearson_deltactrl,nir
Replogle_exp6,3,trainMean,34,0.02449540862411408,0.0647693548254909,0.0018642679299799758,-0.1733259482227761,0.4542018113030128,0.6666666666666667
Schmidt,1,WitnessCell_v13,31,0.06196139917522294,0.30169029342889814,0.01157650966236244,0.09109350238364713,0.3395592873919926,0.6548387096774194
Schmidt,1,WitnessCell_v14,31,0.06123391796556014,0.3287573991040975,0.011562745853844503,0.09464756022258375,0.34217556171154123,0.653763440860215
Schmidt,1,baseControl,31,0.13153543947502447,-0.1374689320702258,0.013723469142503495,-0.04783928286919633,,0.5
Schmidt,1,trainMean,31,0.10772490446877656,0.07091274928656824,0.01182944071950516,0.06150311328143892,0.2922530599515055,0.6473118279569893
Schmidt,2,WitnessCell_v13,28,0.08578129771225794,0.2781973309180908,0.012013235409323576,0.10212761475170604,0.3936018101977763,0.585978835978836
Schmidt,2,WitnessCell_v14,28,0.08570227734322307,0.2813514288821225,0.012007308015859459,0.10247493243200902,0.3972661063352106,0.5873015873015872
Schmidt,2,baseControl,28,0.16097171021941595,-0.2222535927509925,0.014391989383459019,-0.09508239449422104,,0.5
Schmidt,2,trainMean,28,0.13174945561788973,0.018226889312316384,0.012481062932218751,0.041817029032220954,0.3209769095372808,0.5873015873015872
Schmidt,3,WitnessCell_v13,28,0.11853415703531556,0.3265052079583078,0.01075358925698716,0.1368256373554064,0.44109070108919185,0.5978835978835979
Schmidt,3,WitnessCell_v14,28,0.11853415703531556,0.3265052079583078,0.01075358925698716,0.1368256373554064,0.44109070108919185,0.5978835978835979
Schmidt,3,baseControl,28,0.300102341633333,-0.23651389887174074,0.013164510937502394,-0.09028613389578785,,0.5
Schmidt,3,trainMean,28,0.28058747953322233,-0.05799310878864293,0.011561992474845554,0.03220397325316193,0.3220556210555038,0.5846560846560847
Wessels,1,WitnessCell_v13,65,0.06871547476980018,0.2940675763983978,0.0044571888734071035,0.10606284173202943,0.6517955163520662,0.7353365384615385
Wessels,1,WitnessCell_v14,65,0.06871547476980018,0.2940675763983978,0.0044571888734071035,0.10606284173202943,0.6517955163520662,0.7353365384615385
Wessels,1,baseControl,65,0.1385578297758276,-0.330226066023791,0.008629692302060713,-0.6006960541201223,,0.5
Wessels,1,trainMean,65,0.10597162232623479,0.10564726121926499,0.006141985428386068,-0.2217824645110227,0.5722470266321983,0.6377403846153846
Wessels,2,WitnessCell_v13,55,0.02131116632692781,0.5624883074411486,0.0030104470685143854,0.35073450520545807,0.7555294334357006,0.8491582491582491
Wessels,2,WitnessCell_v14,55,0.02131116632692781,0.5624883074411486,0.0030104470685143854,0.35073450520545807,0.7555294334357006,0.8491582491582491
Wessels,2,baseControl,55,0.10996064306690312,-0.4834152401036268,0.008306253402060348,-0.7314740634099056,,0.5
Wessels,2,trainMean,55,0.03533862389195646,0.35533935808114714,0.004911124872089612,-0.08678338746403408,0.6983067466277193,0.7626262626262627
Wessels,3,WitnessCell_v13,67,0.07791531763304846,0.36740395772677853,0.0042172686992901715,0.21279252675798455,0.6858476942152159,0.727498869289914
Wessels,3,WitnessCell_v14,67,0.07791531763304846,0.36740395772677853,0.0042172686992901715,0.21279252675798455,0.6858476942152159,0.727498869289914
Wessels,3,baseControl,67,0.14105769191870532,-0.37988602504223673,0.008358240759008612,-0.6109746933165872,,0.5
Wessels,3,trainMean,67,0.07898447621650746,0.2946391992690136,0.005363768464028361,-0.07598702258362253,0.6435846207931906,0.7322478516508367
