dataset,seed,condition,method,nir
Norman,2,CBL+TGFBR2,WitnessCell_v14,0.7058823529411765
Norman,2,CEBPB+FOSB,WitnessCell_v14,0.9294117647058824
Norman,2,CLDN6+KLF1,WitnessCell_v14,1.0
Norman,2,DLX2+SNAI1,WitnessCell_v14,1.0
Norman,2,ETS2+MAPK1,WitnessCell_v14,1.0
Norman,2,FEV+ISL2,WitnessCell_v14,1.0
Norman,2,FOSB+OSR2,WitnessCell_v14,1.0
Norman,2,FOSB+PTPN12,WitnessCell_v14,0.9882352941176471
Norman,2,FOSB+UBASH3B,WitnessCell_v14,1.0
Norman,2,FOXA3+FOXF1,WitnessCell_v14,0.9882352941176471
Norman,2,FOXF1+HOXB9,WitnessCell_v14,1.0
Norman,2,HOXC13+ZC3HAV1,WitnessCell_v14,1.0
Norman,2,IRF1+SET,WitnessCell_v14,0.9176470588235294
Norman,2,KLF1+SET,WitnessCell_v14,1.0
Norman,2,MAP2K3+MAP2K6,WitnessCell_v14,1.0
Norman,2,PTPN12+ZBTB10,WitnessCell_v14,1.0
Norman,2,SGK1+TBX2,WitnessCell_v14,1.0
Norman,2,SGK1+TBX3,WitnessCell_v14,1.0
Norman,2,BAK1,WitnessCell_v14,0.9529411764705882
