seed,strategy,subset_id,exact_target_risk,empirical_target_mse,mc_relative_error,regret_to_global_optimum,relative_regret,gain_vs_random_average
9,adequacy_only,88,0.5139383135888067,0.5167531311391247,0.0054769560390667245,0.16620591247368494,0.4779707382478289,0.0994409726874459
10,exact,57,0.31191991076164066,0.3114068786896556,0.0016447557667362128,0.0,0.0,0.10749271073756267
10,pure_geometry,115,0.3240346942542644,0.32179827122491234,0.006901801162060694,0.012114783492623737,0.038839404201681305,0.09537792724493893
10,adequacy_only,8,0.4452660630245934,0.4471900925246755,0.004321078249289047,0.1333461522629527,0.42750125164293085,-0.025853441525390042
11,exact,71,0.2656546030936185,0.2671772515966943,0.005731684997527511,0.0,0.0,0.1160511889469164
11,pure_geometry,100,0.26583947645147765,0.2664281580288462,0.0022144249801664454,0.00018487335785916104,0.0006959162600845836,0.11586631558905724
11,adequacy_only,8,0.37896584003282646,0.37693328034177914,0.0053634377464503325,0.11331123693920797,0.42653594411566176,0.002739952007708435
12,exact,118,0.1484205994909321,0.146623743782752,0.012106511591673396,0.0,0.0,0.08952227773882357
12,pure_geometry,63,0.18277116814009509,0.18349355639030948,0.003952419068967599,0.034350568649163,0.2314407081428187,0.05517170908966057
12,adequacy_only,108,0.21721822195363466,0.215936701429006,0.005899691623947624,0.06879762246270257,0.4635314956190151,0.020724655276120996
13,exact,31,0.19207098884003604,0.19058638237890346,0.007729467475012648,0.0,0.0,0.08779835555749732
13,pure_geometry,14,0.21291898248469251,0.21348201077080403,0.002644331095053935,0.020847993644656476,0.10854316818256948,0.06695036191284084
13,adequacy_only,113,0.26592328291147305,0.2668873130530226,0.0036252190142767003,0.07385229407143701,0.3845052004857641,0.013946061486060313
14,exact,65,0.14821860947682153,0.14856576673713642,0.002342197525265435,0.0,0.0,0.08772149447895408
14,pure_geometry,67,0.17485165615896453,0.17753947989864824,0.015372023340974835,0.026633046682143002,0.1796876031704231,0.06108844779681108
14,adequacy_only,91,0.17735976860952535,0.17636866462956086,0.0055880991937157,0.02914115913270382,0.19660931400966164,0.05858033534625026
15,exact,90,0.2743943235167588,0.27671934320448316,0.008473279104049538,0.0,0.0,0.07924366875074385
15,pure_geometry,106,0.3209979416089289,0.32245560550167157,0.004541038130763232,0.04660361809217012,0.16984177185182836,0.03264005065857373
15,adequacy_only,7,0.39139596689878686,0.38902844122430125,0.0060489271088933995,0.11700164338202806,0.4263996495353233,-0.03775797463128422
16,exact,66,0.3977084268591576,0.3990630762658856,0.0034061370472488234,0.0,0.0,0.23066035152670034
16,pure_geometry,79,0.42591421641220084,0.43248716343984234,0.015432560770125083,0.02820578955304326,0.07092077423602561,0.20245456197365708
16,adequacy_only,14,1.0992224102205859,1.10066668333334,0.001313904355774881,0.7015139833614283,1.7638901667272413,-0.47085363183472795
17,exact,54,0.21335272343387346,0.21593404764187127,0.012098857546563566,0.0,0.0,0.22393111988005743
17,pure_geometry,112,0.271875290016024,0.2755342253142131,0.013458138464784575,0.05852256658215055,0.2742995994625259,0.16540855329790688
17,adequacy_only,60,0.450241673392053,0.4446558781768333,0.012406215473430513,0.23688894995817955,1.1103160350873185,-0.012957830078122123
18,exact,10,0.1865553494947507,0.18582034695559047,0.003939863108459993,0.0,0.0,0.11698884175824295
18,pure_geometry,55,0.2605680504621974,0.2577416988127791,0.010846884890165543,0.07401270096744669,0.39673320099314147,0.04297614079079626
18,adequacy_only,27,0.20602500892597453,0.20449194560106868,0.007441151600467534,0.019469659431223835,0.10436398357888788,0.09751918232701912
19,exact,61,0.4437777192525229,0.43955841375014987,0.00950770018260454,0.0,0.0,0.6239824871781112
19,pure_geometry,111,0.46483971038573524,0.46071105527775763,0.008881889855218157,0.021061991133212332,0.04746067731540937,0.602920496044899
19,adequacy_only,6,0.44676560314078817,0.4472281576028897,0.0010353403638277943,0.0029878838882652636,0.006732838893529713,0.620994603289846
20,exact,77,0.2320129677561279,0.2330820323408224,0.004607779448854792,0.0,0.0,0.0902362679013724
20,pure_geometry,56,0.251730016176285,0.25083848566103345,0.00354161386390729,0.01971704842015709,0.08498252753217628,0.07051921948121531
20,adequacy_only,70,0.2372424506288282,0.23415097644760316,0.013030864303714916,0.005229482872700308,0.02253961458825482,0.0850067850286721
21,exact,11,0.5519916174314138,0.5619759600477108,0.018087851882166616,0.0,0.0,0.22627226958602076
21,pure_geometry,104,0.6324431990391977,0.640937051598101,0.013430221989590726,0.08045158160778387,0.14574783215395515,0.14582068797823688
