seed,subset_id,selected_local,exact,pure_geometry,adequacy_only
0,106,4;6;9,0.5110316053362148,0.0732857142857143,0.22049920544254442
0,107,4;7;8,0.3632025267142823,0.0590909090909091,0.15911836713477362
0,108,4;7;9,0.41106229511276954,0.0702857142857143,0.18804689523750517
0,109,4;8;9,0.40439234724178563,0.05772727272727274,0.18664760282137025
0,110,5;6;7,0.409144955088633,0.07255172413793104,0.191701966518853
0,111,5;6;8,0.4148504618801349,0.06689655172413794,0.1898518911117411
0,112,5;6;9,0.5259969681195542,0.07271428571428573,0.22551863373763434
0,113,5;7;8,0.34831804226829444,0.06471428571428572,0.1646010065663916
0,114,5;7;9,0.3908898082983517,0.07200000000000002,0.19345507010598317
0,115,5;8;9,0.3726959309983087,0.05775000000000001,0.19124642920684404
0,116,6;7;8,0.3536525396451474,0.057934782608695654,0.1674256598410787
0,117,6;7;9,0.3858854373640306,0.06725,0.19677491077334103
0,118,6;8;9,0.3778016622963559,0.05421568627450982,0.19384974764612278
0,119,7;8;9,0.3570677300475792,0.05871428571428573,0.16860609819777406
1,0,0;1;2,0.8207684348787425,0.058461538461538474,0.23349418902304983
1,1,0;1;3,0.8249158491573585,0.064031007751938,0.2362461605621258
1,2,0;1;4,0.8578579700530229,0.05950000000000001,0.23898329103592658
1,3,0;1;5,0.7038357513555933,0.048755760368663595,0.24134924161920135
1,4,0;1;6,0.989416253546217,0.06496124031007752,0.21677538853328848
1,5,0;1;7,1.2303505088649764,0.06833333333333334,0.23970290066670788
1,6,0;1;8,1.1989353921406158,0.06095238095238096,0.24357833538201903
1,7,0;1;9,0.8540331357624991,0.055724137931034486,0.24317138827655016
1,8,0;2;3,0.6067708546363972,0.07286821705426359,0.23505047223943693
1,9,0;2;4,0.8087569979958711,0.07147286821705427,0.23795588559339045
1,10,0;2;5,0.6040830591876282,0.06327272727272729,0.23884511255395072
1,11,0;2;6,0.7699135371889972,0.06233333333333334,0.2132063971691844
1,12,0;2;7,0.775541343806978,0.06806201550387597,0.23721276556580675
1,13,0;2;8,0.7769254027541561,0.06248062015503877,0.24041935567380632
1,14,0;2;9,0.6484716773061288,0.06715151515151517,0.23850132651922704
1,15,0;3;4,0.6438743147204516,0.07333333333333336,0.24046822094013626
1,16,0;3;5,0.661087773284042,0.06535947712418302,0.2414279347487554
1,17,0;3;6,0.7735807584810954,0.06666666666666668,0.21633742950863893
1,18,0;3;7,0.7251271068354594,0.07333333333333336,0.2403145529315274
1,19,0;3;8,0.7935654675344948,0.07009523809523811,0.24340213266490987
1,20,0;3;9,0.8209825123658132,0.07390476190476193,0.2429480329495395
1,21,0;4;5,0.5913218042821783,0.05888888888888891,0.2440813484053763
1,22,0;4;6,0.8471273702285192,0.06682926829268293,0.21895371520309403
1,23,0;4;7,0.8164284972131032,0.06790697674418605,0.24227361333528127
1,24,0;4;8,0.8044604098644589,0.06333333333333334,0.24610105409179361
1,25,0;4;9,0.7000640837841801,0.06675,0.24566386496132475
1,26,0;5;6,0.6622162786705359,0.048962655601659764,0.2211773850232914
1,27,0;5;7,0.6392547842343499,0.058418079096045204,0.2446647916079652
1,28,0;5;8,0.6862166178702356,0.05797619047619049,0.2484420248921624
1,29,0;5;9,0.7132925329575918,0.06496969696969698,0.24802911686148663
1,30,0;6;7,0.9403986930114774,0.06930232558139535,0.2212408184775087
1,31,0;6;8,0.9356238132490297,0.06424242424242425,0.22337527208064936
1,32,0;6;9,0.8204505389503698,0.057375,0.22311841180528635
1,33,0;7;8,1.163727109002604,0.07111111111111112,0.2467286477628335
1,34,0;7;9,0.7789645000390202,0.06700000000000003,0.2461386741680939
1,35,0;8;9,0.8395234347683136,0.06780952380952382,0.2500216659810204
1,36,1;2;3,0.6194765533151072,0.05850931677018635,0.2349841344306649
1,37,1;2;4,0.8953433794582581,0.06073170731707318,0.2374295956754021
1,38,1;2;5,0.6341075803766774,0.050149253731343296,0.2372360901718221
1,39,1;2;6,0.819594332519916,0.059503105590062125,0.21344785326187363
1,40,1;2;7,0.7814792407650776,0.05731707317073172,0.23697369575723212
1,41,1;2;8,0.9196296787882563,0.05304347826086958,0.24008158085137138
1,42,1;2;9,0.6736052533223504,0.05297297297297297,0.23743467927649398
1,43,1;3;4,0.6707469255440568,0.060432432432432445,0.24028652858655225
1,44,1;3;5,0.6694020282554946,0.05223880597014927,0.24015277583825567
1,45,1;3;6,0.7934508915969112,0.06181818181818183,0.21707706530580256
1,46,1;3;7,0.7302958203501094,0.0613793103448276,0.24041371611430773
1,47,1;3;8,0.7767520595029503,0.05686274509803922,0.24355606982579553
1,48,1;3;9,0.8463002703384652,0.05727272727272729,0.24319757765986663
1,49,1;4;5,0.6582693088035587,0.04987551867219918,0.2423762521219917
1,50,1;4;6,0.8883605762266686,0.061513513513513515,0.21917843596307204
1,51,1;4;7,0.8084656023089156,0.05717391304347827,0.2419084722527746
1,52,1;4;8,0.8713753018859567,0.05181347150259068,0.24573617402925088
1,53,1;4;9,0.7393940994181327,0.053271889400921674,0.2453044949167913
1,54,1;5;6,0.7109016382798979,0.04721991701244814,0.2202559612283515
1,55,1;5;7,0.6405374026059328,0.047309236947791176,0.24330520665116054
1,56,1;5;8,0.6934845773061755,0.04539682539682541,0.24695012993874213
1,57,1;5;9,0.7307874168126199,0.05184079601990051,0.2465191829356156
1,58,1;6;7,0.9444318375901404,0.06331034482758621,0.22159827437743312
1,59,1;6;8,0.9751503556081662,0.059172413793103465,0.22383945779671252
1,60,1;6;9,0.8542240355026647,0.05250000000000001,0.223567897265944
1,61,1;7;8,1.353212100462807,0.06323809523809525,0.24662979610533917
1,62,1;7;9,0.7825098871383553,0.05437908496732027,0.2461175077199469
1,63,1;8;9,0.8290379418046656,0.05448275862068967,0.24997142040755915
1,64,2;3;4,0.6245717803003343,0.07636363636363637,0.24010711065873802
1,65,2;3;5,0.6688172044924744,0.07950000000000002,0.2390698246906832
1,66,2;3;6,0.6404265036064734,0.06173913043478263,0.21510698054887084
1,67,2;3;7,0.579920920636191,0.06813793103448278,0.2391882349500066
1,68,2;3;8,0.5847907648754433,0.06687500000000002,0.24187525191403703
1,69,2;3;9,0.690367089058883,0.08190476190476192,0.2386855542880587
1,70,2;4;5,0.6315406004683853,0.06758169934640525,0.24166750928388916
1,71,2;4;6,0.8415544003247463,0.06497297297297298,0.21746890972561078
1,72,2;4;7,0.7666482109248542,0.06772413793103449,0.24114917073201886
1,73,2;4;8,0.8581355305235073,0.06427586206896552,0.24439654379092987
1,74,2;4;9,0.6857960281147358,0.07175000000000001,0.24209547940854695
1,75,2;5;6,0.6470594574149411,0.052105263157894745,0.2170153418548386
1,76,2;5;7,0.5709582174004753,0.06020833333333334,0.2409526350793456
1,77,2;5;8,0.6115758159710183,0.06346153846153847,0.24415444501417616
1,78,2;5;9,0.7371914830534383,0.08450000000000002,0.24160040587634446
1,79,2;6;7,0.7426046001444211,0.05942307692307694,0.2186351102254272
1,80,2;6;8,0.7937487050131657,0.055751295336787576,0.21987458636542148
1,81,2;6;9,0.6998357350824456,0.05365853658536587,0.21745777680350728
1,82,2;7;8,0.7357683400323033,0.06121212121212122,0.24379333805482326
1,83,2;7;9,0.6184531091790304,0.06355555555555556,0.24107611317654795
1,84,2;8;9,0.6514346019047064,0.0672857142857143,0.2446781913876557
1,85,3;4;5,0.65047698856052,0.069281045751634,0.2441920628832633
1,86,3;4;6,0.7735495404744014,0.06731707317073173,0.22053372591329604
1,87,3;4;7,0.5659666075742913,0.06737500000000002,0.24425443526287705
1,88,3;4;8,0.6281901212848644,0.0677241379310345,0.24744481387121323
1,89,3;4;9,0.8108714223737183,0.0778294573643411,0.2469479504298092
1,90,3;5;6,0.6671982551548985,0.054375000000000014,0.22037291486366645
1,91,3;5;7,0.624404353662043,0.062222222222222234,0.24421064598023992
1,92,3;5;8,0.6527493335917716,0.065,0.24728947134606666
1,93,3;5;9,0.7716760981630624,0.08166666666666668,0.2468048468417145
1,94,3;6;7,0.6723270366658227,0.061750000000000006,0.22211671280375564
1,95,3;6;8,0.755940201300062,0.061931034482758635,0.2237644919160143
1,96,3;6;9,0.8801303843111753,0.06108527131782948,0.2236236131406088
1,97,3;7;8,0.7170022331845479,0.0665,0.24754506391240128
1,98,3;7;9,0.7374636830822421,0.06916666666666668,0.24695808821609766
1,99,3;8;9,0.8129945163310466,0.07333333333333335,0.2502489853280913
1,100,4;5;6,0.7160327222865366,0.05311203319502076,0.222446816590438
1,101,4;5;7,0.5216168169728952,0.05658536585365854,0.2457989299549458
1,102,4;5;8,0.6525539778929319,0.06226190476190477,0.2495100699868943
1,103,4;5;9,0.7406189087399643,0.07030303030303031,0.2490135753147456
1,104,4;6;7,0.7837170317732975,0.06147058823529413,0.22357635270670756
1,105,4;6;8,0.8465337608967957,0.05958333333333335,0.22579887889323277
1,106,4;6;9,0.8418056367680992,0.05872549019607844,0.22555923988048507
1,107,4;7;8,0.7527173851846918,0.060000000000000005,0.2490075597461661
1,108,4;7;9,0.6316093505064946,0.06222222222222224,0.24839345133458796
1,109,4;8;9,0.7083999878710459,0.0677241379310345,0.25231307322013236
1,110,5;6;7,0.6011066345542107,0.04643835616438357,0.22530012240566397
1,111,5;6;8,0.7074487648097534,0.04976190476190477,0.22685216007664685
1,112,5;6;9,0.7543464485318125,0.05166666666666667,0.22657123584715513
1,113,5;7;8,0.6192226400849397,0.054803921568627456,0.25031382209920244
1,114,5;7;9,0.6542583470206521,0.06197916666666669,0.24971541935092018
1,115,5;8;9,0.7172863431253074,0.06653846153846155,0.25345671546060977
1,116,6;7;8,0.8922440116837124,0.0623529411764706,0.22824542508982557
1,117,6;7;9,0.7425303283751541,0.053650793650793664,0.2279820884978067
1,118,6;8;9,0.8336267676476861,0.05917241379310345,0.23003511293033654
1,119,7;8;9,0.7714327739790419,0.0645,0.25302112771501445
2,0,0;1;2,0.33784166980117225,0.06392156862745099,0.09891868282703856
2,1,0;1;3,0.35279047457777135,0.06538461538461539,0.0994542528268221
2,2,0;1;4,0.2968341997978526,0.04611295681063124,0.0920275288194805
2,3,0;1;5,0.3084380695388533,0.05672727272727274,0.09904156674770861
2,4,0;1;6,0.3180367652525784,0.050456431535269713,0.0964090452097225
2,5,0;1;7,0.33089419470903514,0.052697095435684654,0.09910697491479498
2,6,0;1;8,0.323022412556325,0.05575000000000001,0.09845183138282305
2,7,0;1;9,0.31637783190797086,0.05690000000000002,0.09596735329762718
2,8,0;2;3,0.3253475322205737,0.06482758620689658,0.0992775425126871
2,9,0;2;4,0.2731633002065718,0.04525252525252526,0.09227701268543699
2,10,0;2;5,0.28812233882173616,0.05637500000000002,0.09851539093903663
2,11,0;2;6,0.3002716617238229,0.051027027027027036,0.09672553074875066
2,12,0;2;7,0.31811986333027065,0.056585365853658545,0.09963739830309207
2,13,0;2;8,0.30160744861762556,0.054583333333333345,0.09877385118025452
2,14,0;2;9,0.29448112516688074,0.052777777777777785,0.09667713418929727
2,15,0;3;4,0.2943603946194391,0.04678082191780823,0.09257512737754214
2,16,0;3;5,0.31179222867674566,0.05712500000000001,0.09904756255746054
2,17,0;3;6,0.31238416204602726,0.05216589861751152,0.09676298303777248
2,18,0;3;7,0.31625303133322713,0.0551152073732719,0.0994625002478176
2,19,0;3;8,0.3140244519579327,0.05854922279792747,0.09881077906542653
2,20,0;3;9,0.3159654974354844,0.05619512195121952,0.09632492542546188
2,21,0;4;5,0.2749857107979179,0.05114754098360656,0.09174441826120035
2,22,0;4;6,0.29673596135321595,0.04785714285714286,0.09079673502598637
2,23,0;4;7,0.2637397725702924,0.044500000000000005,0.09243637806418127
2,24,0;4;8,0.2758827864425404,0.0469178082191781,0.09219906718805292
2,25,0;4;9,0.28553350012233875,0.04907894736842106,0.08946146737714089
2,26,0;5;6,0.28492564618564165,0.05,0.09594673191217766
