seed,strategy,length_factor,rho,noise_ratio,inner_weighted_mse
101,estimated_witness,4.0,1.0,0.3,0.2402534117048937
101,estimated_witness,0.5,0.1,0.3,0.24026266713972624
101,estimated_witness,0.25,0.1,0.3,0.24049737106109106
101,estimated_witness,2.0,0.75,1.0,0.24162086456913678
101,estimated_witness,2.0,0.25,0.1,0.2416228055157538
101,estimated_witness,1.0,0.1,0.3,0.2422036836173588
101,estimated_witness,0.5,0.25,0.03,0.24416373127966637
101,estimated_witness,0.25,0.25,0.03,0.24451796372564516
101,estimated_witness,0.5,0.9,0.03,0.24487960269770057
101,estimated_witness,2.0,0.1,0.3,0.24507822149107264
101,estimated_witness,0.5,0.9,0.1,0.2457828139280048
101,estimated_witness,2.0,1.0,0.3,0.24674917416803985
101,estimated_witness,1.0,0.75,1.0,0.24750323728568632
101,estimated_witness,4.0,0.1,0.3,0.2475274470862848
101,estimated_witness,1.0,0.25,0.03,0.24829233716648846
101,estimated_witness,2.0,1.0,0.03,0.24839206287445137
101,estimated_witness,0.25,0.0,3.0,0.2502079304099038
101,estimated_witness,4.0,0.1,3.0,0.2505086799096076
101,estimated_witness,4.0,0.25,0.1,0.2507252101317639
101,estimated_witness,2.0,0.1,3.0,0.25138070380568656
101,estimated_witness,1.0,0.1,3.0,0.2519250930847157
101,estimated_witness,0.5,0.1,3.0,0.2522337104100538
101,estimated_witness,0.25,0.1,3.0,0.2523941865002795
101,estimated_witness,4.0,0.25,3.0,0.2534283132202522
101,estimated_witness,4.0,0.9,1.0,0.2537435659426081
101,estimated_witness,0.5,0.75,1.0,0.25400778468832563
101,estimated_witness,0.5,0.9,0.3,0.254182771857644
101,estimated_witness,2.0,0.25,3.0,0.2546750518657576
101,estimated_witness,1.0,0.25,3.0,0.2557737865676333
101,estimated_witness,0.5,0.1,0.1,0.2560241315341573
101,estimated_witness,2.0,0.9,1.0,0.2563687334760761
101,estimated_witness,0.5,0.25,3.0,0.2565819561742304
101,estimated_witness,2.0,0.25,0.03,0.2567125811059337
101,estimated_witness,0.25,0.1,0.1,0.2567678733065813
101,estimated_witness,0.25,0.9,0.03,0.2568203937488953
101,estimated_witness,0.25,0.25,3.0,0.25715280557555875
101,estimated_witness,0.25,0.0,0.3,0.25762846011725965
101,estimated_witness,0.25,0.9,0.1,0.25840167248976526
101,estimated_witness,1.0,1.0,0.1,0.2592565976658899
101,estimated_witness,0.25,0.75,1.0,0.2596076395231039
101,estimated_witness,1.0,0.1,0.1,0.2600804022629422
101,estimated_witness,4.0,0.5,3.0,0.2615749875592331
101,estimated_witness,2.0,0.5,3.0,0.2631758153113825
101,estimated_witness,1.0,1.0,0.3,0.2643652786844128
101,estimated_witness,1.0,0.9,1.0,0.2646844029248936
101,estimated_witness,1.0,0.5,3.0,0.2654206854697442
101,estimated_witness,0.25,0.9,0.3,0.2655999042886973
