seed,strategy,residual_mse,residual_nmse,residual_cosine,full_effect_mse,full_effect_nmse,full_effect_cosine,selected_length_factor,selected_rho,selected_noise_ratio,covariance_scale,estimated_K_diagonal,estimated_noise_variance
104,estimated_witness,0.16063305175607517,0.685804947920077,0.5053014050881516,0.16063305177037848,0.19105898911639957,0.8993715129687587,0.5,0.5,0.03,0.2809970650851062,0.1404985325425531,0.008429911952553186
104,geometry_only,0.20390516003182993,0.8705504012251036,0.4502204372627832,0.2039051600295715,0.24252738350857656,0.8698494863785153,0.25,0.0,0.3,0.19616276174921915,0.0,0.058848828524765744
104,empirical_oracle,0.05095811287678601,0.21755999506650672,0.826750402599565,0.05095811288668708,0.06061022577923265,0.9485575781750367,,,,1.0,,2.08188062556178e-11
105,estimated_witness,0.19486130136625512,1.0127650389841552,0.4302288143294681,0.19486130138363061,0.2554893731555692,0.8553365685828029,4.0,0.5,0.1,0.33244950808810764,0.16622475404405382,0.033244950808810764
105,geometry_only,0.24594535816919116,1.2782674574569368,0.34005799145955956,0.24594535818815277,0.3224674419591641,0.8220514302269868,0.25,0.0,0.3,0.19396396936773383,0.0,0.058189190810320146
105,empirical_oracle,0.04248991280637468,0.22083552710601712,0.8344854254590768,0.04248991281998711,0.055709990207040816,0.9332420704597053,,,,1.0,,2.2266129024706834e-11
106,estimated_witness,0.15565895938113694,0.5091622687692297,0.6287180059348099,0.15565895941990793,0.19735146491953268,0.891731819843425,2.0,0.9,0.1,0.39911340883649055,0.3592020679528415,0.03991134088364906
106,geometry_only,0.18361297177046723,0.6006001688165002,0.4695918864157085,0.18361297181171665,0.23279282541983073,0.8663884615228606,0.25,0.0,1.0,0.09469388382334372,0.0,0.09469388382334372
106,empirical_oracle,0.052321927899308715,0.17114563544242997,0.8272734943519227,0.052321927932503606,0.06633610531237553,0.9417641219459993,,,,1.0,,2.023043265355682e-11
107,estimated_witness,0.1968699157141906,0.5441382627123356,0.5694695356760751,0.19686991564724962,0.19560898377501149,0.8985321828010846,0.5,0.5,0.1,0.2189364988767949,0.10946824943839745,0.02189364988767949
107,geometry_only,0.22718736642431855,0.6279341281162988,0.5452478118848947,0.22718736635113596,0.22573225427745944,0.8803355545137322,0.25,0.0,1.0,0.09070860358314636,0.0,0.09070860358314636
107,empirical_oracle,0.05283723503137293,0.1460393842918796,0.8503560772318556,0.05283723500449563,0.05249881786524373,0.9577704481016749,,,,1.0,,1.9705930652309495e-11
108,estimated_witness,0.1223681507940511,0.5736820407776873,0.5243374265110009,0.12236815078836968,0.158137537392401,0.9214679735200189,4.0,0.9,0.03,0.7900801713526729,0.7110721542174057,0.02370240514058019
108,geometry_only,0.1128763825501262,0.5291830682801115,0.4865958625098122,0.1128763825164732,0.14587123402549831,0.9239758110815697,0.25,0.0,1.0,0.1014860993305685,0.0,0.1014860993305685
