seed,strategy,length_factor,rho,noise_ratio,inner_weighted_mse
0,estimated_witness,2.0,0.25,10.0,0.31398719617685394
0,estimated_witness,0.5,0.9,3.0,0.31406963529353754
0,estimated_witness,1.0,0.25,10.0,0.3152909106249021
0,estimated_witness,0.5,0.25,10.0,0.3168863756033603
0,estimated_witness,0.25,0.25,10.0,0.31851292992791486
0,estimated_witness,4.0,0.5,10.0,0.32337725191830974
0,estimated_witness,2.0,0.5,10.0,0.32400324401254327
0,estimated_witness,1.0,0.5,10.0,0.3260857284513184
0,estimated_witness,0.25,1.0,1.0,0.3281292889001397
0,estimated_witness,0.5,0.5,10.0,0.3292980127590917
0,estimated_witness,0.25,0.9,3.0,0.329500055324337
0,estimated_witness,0.5,1.0,3.0,0.33085966907699943
0,estimated_witness,0.25,0.5,10.0,0.3327326551215875
0,estimated_witness,2.0,0.75,10.0,0.33577519984086807
0,estimated_witness,4.0,0.75,10.0,0.3358236115353628
0,estimated_witness,1.0,0.75,10.0,0.33870650599191693
0,estimated_witness,2.0,0.9,10.0,0.3437682410995509
0,estimated_witness,0.5,0.75,10.0,0.34387082275829123
0,estimated_witness,4.0,0.9,10.0,0.3443576866971643
0,estimated_witness,1.0,0.9,10.0,0.34725215750787025
0,estimated_witness,0.25,0.75,10.0,0.3495374929083422
0,estimated_witness,2.0,1.0,10.0,0.34953790350408936
0,estimated_witness,0.25,1.0,3.0,0.3498232924838168
0,estimated_witness,4.0,1.0,10.0,0.3505558081188828
0,estimated_witness,1.0,1.0,10.0,0.3534065737290324
0,estimated_witness,0.5,0.9,10.0,0.3537741283749362
0,estimated_witness,0.5,1.0,10.0,0.3609203127148328
0,estimated_witness,0.25,0.9,10.0,0.3610355172479971
0,estimated_witness,0.25,1.0,10.0,0.369370858375601
0,geometry_only,0.25,0.0,1.0,0.1948145350908048
0,geometry_only,0.25,0.0,0.3,0.1990890728551168
0,geometry_only,0.25,0.0,3.0,0.23737126375049553
0,geometry_only,0.25,0.0,0.1,0.2432003424462943
0,geometry_only,0.25,0.0,0.03,0.3035367809221372
0,geometry_only,0.25,0.0,10.0,0.30671605854180445
1,estimated_witness,1.0,0.75,0.1,0.16244101274296577
1,estimated_witness,0.5,0.75,0.1,0.16269132383421733
1,estimated_witness,1.0,0.9,0.1,0.16294209390152334
1,estimated_witness,1.0,0.9,0.03,0.16347681133740413
1,estimated_witness,0.5,0.75,0.03,0.16476261673831294
1,estimated_witness,1.0,0.75,0.03,0.16683008326131585
1,estimated_witness,1.0,0.75,0.3,0.16741438140288165
1,estimated_witness,0.5,0.9,0.03,0.1675090161999613
1,estimated_witness,0.5,0.9,0.1,0.16780910754226097
1,estimated_witness,0.5,0.75,0.3,0.16808944491404498
1,estimated_witness,2.0,0.9,0.1,0.1683194263410224
1,estimated_witness,2.0,0.9,0.03,0.16912377136223553
1,estimated_witness,0.5,0.5,0.3,0.1693717861201086
1,estimated_witness,0.5,0.5,0.1,0.1694740920885254
1,estimated_witness,0.25,0.75,0.1,0.16982162978441165
1,estimated_witness,0.25,0.75,0.03,0.17006721358405522
1,estimated_witness,0.25,0.5,0.1,0.17096847888825553
1,estimated_witness,2.0,0.75,0.1,0.17160183245064153
1,estimated_witness,0.25,0.5,0.3,0.1722002496066972
1,estimated_witness,1.0,0.9,0.3,0.17234578170272943
1,estimated_witness,1.0,0.5,0.3,0.17242331563457267
1,estimated_witness,2.0,0.75,0.3,0.17404731783766625
1,estimated_witness,0.25,0.5,0.03,0.17463902337835466
1,estimated_witness,0.5,0.9,0.3,0.17530509192783753
1,estimated_witness,0.25,0.75,0.3,0.17533343083511968
1,estimated_witness,1.0,0.5,0.1,0.17563559315990065
1,estimated_witness,0.5,0.5,0.03,0.17588852872523872
1,estimated_witness,4.0,0.9,0.1,0.17658827365133412
1,estimated_witness,0.25,0.9,0.03,0.1779279163929323
1,estimated_witness,0.25,0.9,0.1,0.1791243649535074
1,estimated_witness,2.0,0.9,0.3,0.17917959332603348
1,estimated_witness,1.0,1.0,0.1,0.17957191889478794
1,estimated_witness,2.0,0.5,0.3,0.18004793307521497
1,estimated_witness,2.0,0.75,0.03,0.18041115785738246
1,estimated_witness,4.0,0.9,0.03,0.18068506675553922
1,estimated_witness,4.0,0.75,0.3,0.18122984672653344
1,estimated_witness,4.0,0.75,0.1,0.18212472867608942
1,estimated_witness,0.5,1.0,0.1,0.18244747318375729
1,estimated_witness,0.25,0.25,0.3,0.18311031152662097
1,estimated_witness,0.5,0.25,0.3,0.18321178584017117
1,estimated_witness,0.5,0.5,1.0,0.18330231743905132
1,estimated_witness,0.5,1.0,0.03,0.18389641414962096
1,estimated_witness,1.0,1.0,0.3,0.1847118636878441
1,estimated_witness,1.0,0.5,1.0,0.1849340007876387
1,estimated_witness,1.0,0.5,0.03,0.1857047965044947
1,estimated_witness,0.25,0.9,0.3,0.18573245684847503
1,estimated_witness,0.25,0.5,1.0,0.18602110594944624
1,estimated_witness,0.5,0.25,1.0,0.1866874834866827
1,estimated_witness,4.0,0.5,0.3,0.187208437884402
1,estimated_witness,0.25,0.25,1.0,0.18736558045480214
1,estimated_witness,1.0,1.0,0.03,0.1873793243367643
1,estimated_witness,0.5,1.0,0.3,0.18739582568636412
1,estimated_witness,0.5,0.75,1.0,0.18750374466031353
1,estimated_witness,4.0,0.9,0.3,0.18760663962964022
1,estimated_witness,1.0,0.25,0.3,0.1878708617969229
1,estimated_witness,1.0,0.75,1.0,0.18822598340161015
1,estimated_witness,1.0,0.25,1.0,0.18850693988677203
1,estimated_witness,2.0,1.0,0.1,0.18860635479581075
1,estimated_witness,2.0,0.5,0.1,0.1886612549765521
1,estimated_witness,0.25,0.25,0.1,0.19013398641062396
1,estimated_witness,2.0,0.5,1.0,0.19026870368464208
1,estimated_witness,0.5,0.25,0.1,0.1917335012032474
1,estimated_witness,2.0,0.25,1.0,0.19205854321941174
1,estimated_witness,0.25,0.1,1.0,0.1926354364387596
1,estimated_witness,0.5,0.1,1.0,0.19263898662896783
1,estimated_witness,0.25,0.75,1.0,0.19306144434169528
1,estimated_witness,0.25,1.0,0.03,0.19368998037399696
1,estimated_witness,1.0,0.1,1.0,0.19375671174842224
1,estimated_witness,0.25,1.0,0.1,0.1945535181641239
1,estimated_witness,2.0,0.25,0.3,0.19474162141908447
1,estimated_witness,0.5,0.9,1.0,0.19492924375005918
1,estimated_witness,1.0,0.9,1.0,0.19511619299411675
1,estimated_witness,2.0,1.0,0.3,0.19512325026395913
1,estimated_witness,2.0,0.75,1.0,0.19524543326497282
1,estimated_witness,2.0,0.1,1.0,0.1955598444642168
1,estimated_witness,4.0,0.25,1.0,0.19556343035886178
1,estimated_witness,4.0,0.5,1.0,0.19591993647386965
1,estimated_witness,4.0,0.1,1.0,0.19734017185000038
1,estimated_witness,4.0,0.75,0.03,0.1980514209540746
1,estimated_witness,2.0,1.0,0.03,0.19827657118586647
1,estimated_witness,0.25,0.0,1.0,0.19899506933643338
1,estimated_witness,0.25,1.0,0.3,0.19958027597132907
1,estimated_witness,0.25,0.25,0.03,0.19979264104872133
1,estimated_witness,0.25,0.1,0.3,0.2002452720890782
1,estimated_witness,1.0,0.25,0.1,0.20047501832364198
1,estimated_witness,4.0,0.5,0.1,0.20064071529182828
1,estimated_witness,4.0,0.25,0.3,0.20076081804418264
